Date,number,day,release_date,due_date,duration,period,instance
2021-02-17,66,3,5,20,5,2021-02-21,w2021-02-21-a
2021-02-18,73,4,5,20,5,2021-02-21,w2021-02-21-a
2021-02-19,71,5,5,20,5,2021-02-21,w2021-02-21-a
2021-02-20,69,6,5,20,5,2021-02-21,w2021-02-21-a
2021-03-22,62,1,5,20,5,2021-03-28,w2021-03-28-a
2021-03-23,77,2,5,20,5,2021-03-28,w2021-03-28-a
2021-03-24,69,3,5,20,5,2021-03-28,w2021-03-28-a
2021-03-25,67,4,5,20,5,2021-03-28,w2021-03-28-a
2021-03-26,73,5,5,20,5,2021-03-28,w2021-03-28-a
2021-03-27,75,6,5,20,5,2021-03-28,w2021-03-28-a
2021-05-03,70,1,5,20,5,2021-05-09,w2021-05-09-a
2021-05-04,68,2,5,20,5,2021-05-09,w2021-05-09-a
2021-05-05,67,3,5,20,5,2021-05-09,w2021-05-09-a
2021-05-06,63,4,5,20,5,2021-05-09,w2021-05-09-a
2021-05-07,67,5,5,20,5,2021-05-09,w2021-05-09-a
2021-05-08,63,6,5,20,5,2021-05-09,w2021-05-09-a
2021-05-03,14,1,5,20,5,2021-05-09,w2021-05-09-b4
2021-05-04,13,2,5,20,5,2021-05-09,w2021-05-09-b4
2021-05-05,13,3,5,20,5,2021-05-09,w2021-05-09-b4
2021-05-06,12,4,5,20,5,2021-05-09,w2021-05-09-b4
2021-05-07,13,5,5,20,5,2021-05-09,w2021-05-09-b4
2021-05-08,12,6,5,20,5,2021-05-09,w2021-05-09-b4
2021-05-03,27,1,5,20,5,2021-05-09,w2021-05-09-b8
2021-05-04,26,2,5,20,5,2021-05-09,w2021-05-09-b8
2021-05-05,26,3,5,20,5,2021-05-09,w2021-05-09-b8
2021-05-06,24,4,5,20,5,2021-05-09,w2021-05-09-b8
2021-05-07,26,5,5,20,5,2021-05-09,w2021-05-09-b8
2021-05-08,24,6,5,20,5,2021-05-09,w2021-05-09-b8
2021-05-03,70,1,5,20,5,2021-05-09,w2021-05-09-b21
2021-05-04,68,2,5,20,5,2021-05-09,w2021-05-09-b21
2021-05-05,67,3,5,20,5,2021-05-09,w2021-05-09-b21
2021-05-06,63,4,5,20,5,2021-05-09,w2021-05-09-b21
2021-05-07,67,5,5,20,5,2021-05-09,w2021-05-09-b21
2021-05-08,63,6,5,20,5,2021-05-09,w2021-05-09-b21
2021-02-15,15,1,5,20,5,2021-02-21,w2021-02-21-b4
2021-02-16,14,2,5,20,5,2021-02-21,w2021-02-21-b4
2021-02-17,13,3,5,20,5,2021-02-21,w2021-02-21-b4
2021-02-18,14,4,5,20,5,2021-02-21,w2021-02-21-b4
2021-02-19,14,5,5,20,5,2021-02-21,w2021-02-21-b4
2021-02-20,14,6,5,20,5,2021-02-21,w2021-02-21-b4
2021-02-15,29,1,5,20,5,2021-02-21,w2021-02-21-b8
2021-02-16,28,2,5,20,5,2021-02-21,w2021-02-21-b8
2021-02-17,26,3,5,20,5,2021-02-21,w2021-02-21-b8
2021-02-18,28,4,5,20,5,2021-02-21,w2021-02-21-b8
2021-02-19,28,5,5,20,5,2021-02-21,w2021-02-21-b8
2021-02-20,27,6,5,20,5,2021-02-21,w2021-02-21-b8
2021-02-15,75,1,5,20,5,2021-02-21,w2021-02-21-b21
2021-02-16,72,2,5,20,5,2021-02-21,w2021-02-21-b21
2021-02-17,66,3,5,20,5,2021-02-21,w2021-02-21-b21
2021-02-18,73,4,5,20,5,2021-02-21,w2021-02-21-b21
2021-02-19,71,5,5,20,5,2021-02-21,w2021-02-21-b21
2021-02-20,69,6,5,20,5,2021-02-21,w2021-02-21-b21
2019-09-02,14,1,5,20,5,2019-09-08,w2019-09-08-b4
2019-09-03,14,2,5,20,5,2019-09-08,w2019-09-08-b4
2019-09-04,14,3,5,20,5,2019-09-08,w2019-09-08-b4
2019-09-05,14,4,5,20,5,2019-09-08,w2019-09-08-b4
2019-09-06,14,5,5,20,5,2019-09-08,w2019-09-08-b4
2019-09-07,14,6,5,20,5,2019-09-08,w2019-09-08-b4
2019-09-02,27,1,5,20,5,2019-09-08,w2019-09-08-b8
2019-09-03,27,2,5,20,5,2019-09-08,w2019-09-08-b8
2019-09-04,28,3,5,20,5,2019-09-08,w2019-09-08-b8
2019-09-05,28,4,5,20,5,2019-09-08,w2019-09-08-b8
2019-09-06,28,5,5,20,5,2019-09-08,w2019-09-08-b8
2019-09-07,28,6,5,20,5,2019-09-08,w2019-09-08-b8
2019-09-02,69,1,5,20,5,2019-09-08,w2019-09-08-b21
2019-09-03,70,2,5,20,5,2019-09-08,w2019-09-08-b21
2019-09-04,72,3,5,20,5,2019-09-08,w2019-09-08-b21
2019-09-05,71,4,5,20,5,2019-09-08,w2019-09-08-b21
2019-09-06,71,5,5,20,5,2019-09-08,w2019-09-08-b21
2019-09-07,72,6,5,20,5,2019-09-08,w2019-09-08-b21
2018-05-14,15,1,5,20,5,2018-05-20,w2018-05-20-b4
2018-05-15,13,2,5,20,5,2018-05-20,w2018-05-20-b4
2018-05-16,12,3,5,20,5,2018-05-20,w2018-05-20-b4
2018-05-17,13,4,5,20,5,2018-05-20,w2018-05-20-b4
2018-05-18,14,5,5,20,5,2018-05-20,w2018-05-20-b4
2018-05-19,12,6,5,20,5,2018-05-20,w2018-05-20-b4
2018-05-14,29,1,5,20,5,2018-05-20,w2018-05-20-b8
2018-05-15,26,2,5,20,5,2018-05-20,w2018-05-20-b8
2018-05-16,24,3,5,20,5,2018-05-20,w2018-05-20-b8
2018-05-17,26,4,5,20,5,2018-05-20,w2018-05-20-b8
2018-05-18,27,5,5,20,5,2018-05-20,w2018-05-20-b8
2018-05-19,24,6,5,20,5,2018-05-20,w2018-05-20-b8
2018-05-14,75,1,5,20,5,2018-05-20,w2018-05-20-b21
2018-05-15,66,2,5,20,5,2018-05-20,w2018-05-20-b21
2018-05-16,62,3,5,20,5,2018-05-20,w2018-05-20-b21
2018-05-17,68,4,5,20,5,2018-05-20,w2018-05-20-b21
2018-05-18,70,5,5,20,5,2018-05-20,w2018-05-20-b21
2018-05-19,62,6,5,20,5,2018-05-20,w2018-05-20-b21
2020-03-09,14,1,5,20,5,2020-03-15,w2020-03-15-b4
2020-03-10,13,2,5,20,5,2020-03-15,w2020-03-15-b4
2020-03-11,13,3,5,20,5,2020-03-15,w2020-03-15-b4
2020-03-12,15,4,5,20,5,2020-03-15,w2020-03-15-b4
2020-03-13,15,5,5,20,5,2020-03-15,w2020-03-15-b4
2020-03-14,14,6,5,20,5,2020-03-15,w2020-03-15-b4
2020-03-09,28,1,5,20,5,2020-03-15,w2020-03-15-b8
2020-03-10,26,2,5,20,5,2020-03-15,w2020-03-15-b8
2020-03-11,26,3,5,20,5,2020-03-15,w2020-03-15-b8
2020-03-12,29,4,5,20,5,2020-03-15,w2020-03-15-b8
2020-03-13,29,5,5,20,5,2020-03-15,w2020-03-15-b8
2020-03-14,28,6,5,20,5,2020-03-15,w2020-03-15-b8
2020-03-09,73,1,5,20,5,2020-03-15,w2020-03-15-b21
2020-03-10,66,2,5,20,5,2020-03-15,w2020-03-15-b21
2020-03-11,68,3,5,20,5,2020-03-15,w2020-03-15-b21
2020-03-12,74,4,5,20,5,2020-03-15,w2020-03-15-b21
2020-03-13,76,5,5,20,5,2020-03-15,w2020-03-15-b21
2020-03-14,72,6,5,20,5,2020-03-15,w2020-03-15-b21
2019-04-22,15,1,5,20,5,2019-04-28,w2019-04-28-b4
2019-04-23,14,2,5,20,5,2019-04-28,w2019-04-28-b4
2019-04-24,13,3,5,20,5,2019-04-28,w2019-04-28-b4
2019-04-25,14,4,5,20,5,2019-04-28,w2019-04-28-b4
2019-04-26,13,5,5,20,5,2019-04-28,w2019-04-28-b4
2019-04-27,14,6,5,20,5,2019-04-28,w2019-04-28-b4
2019-04-22,29,1,5,20,5,2019-04-28,w2019-04-28-b8
2019-04-23,27,2,5,20,5,2019-04-28,w2019-04-28-b8
2019-04-24,25,3,5,20,5,2019-04-28,w2019-04-28-b8
2019-04-25,28,4,5,20,5,2019-04-28,w2019-04-28-b8
2019-04-26,26,5,5,20,5,2019-04-28,w2019-04-28-b8
2019-04-27,27,6,5,20,5,2019-04-28,w2019-04-28-b8
2019-04-22,76,1,5,20,5,2019-04-28,w2019-04-28-b21
2019-04-23,70,2,5,20,5,2019-04-28,w2019-04-28-b21
2019-04-24,65,3,5,20,5,2019-04-28,w2019-04-28-b21
2019-04-25,72,4,5,20,5,2019-04-28,w2019-04-28-b21
2019-04-26,68,5,5,20,5,2019-04-28,w2019-04-28-b21
2019-04-27,69,6,5,20,5,2019-04-28,w2019-04-28-b21
2020-08-31,12,1,5,20,5,2020-09-06,w2020-09-06-b4
2020-09-01,14,2,5,20,5,2020-09-06,w2020-09-06-b4
2020-09-02,12,3,5,20,5,2020-09-06,w2020-09-06-b4
2020-09-03,12,4,5,20,5,2020-09-06,w2020-09-06-b4
2020-09-04,14,5,5,20,5,2020-09-06,w2020-09-06-b4
2020-09-05,13,6,5,20,5,2020-09-06,w2020-09-06-b4
2020-08-31,24,1,5,20,5,2020-09-06,w2020-09-06-b8
2020-09-01,28,2,5,20,5,2020-09-06,w2020-09-06-b8
2020-09-02,24,3,5,20,5,2020-09-06,w2020-09-06-b8
2020-09-03,24,4,5,20,5,2020-09-06,w2020-09-06-b8
2020-09-04,28,5,5,20,5,2020-09-06,w2020-09-06-b8
2020-09-05,25,6,5,20,5,2020-09-06,w2020-09-06-b8
2020-08-31,62,1,5,20,5,2020-09-06,w2020-09-06-b21
2020-09-01,72,2,5,20,5,2020-09-06,w2020-09-06-b21
2020-09-02,61,3,5,20,5,2020-09-06,w2020-09-06-b21
2020-09-03,61,4,5,20,5,2020-09-06,w2020-09-06-b21
2020-09-04,71,5,5,20,5,2020-09-06,w2020-09-06-b21
2020-09-05,65,6,5,20,5,2020-09-06,w2020-09-06-b21
2019-02-11,15,1,5,20,5,2019-02-17,w2019-02-17-b4
2019-02-12,13,2,5,20,5,2019-02-17,w2019-02-17-b4
2019-02-13,13,3,5,20,5,2019-02-17,w2019-02-17-b4
2019-02-14,14,4,5,20,5,2019-02-17,w2019-02-17-b4
2019-02-15,13,5,5,20,5,2019-02-17,w2019-02-17-b4
2019-02-16,13,6,5,20,5,2019-02-17,w2019-02-17-b4
2019-02-11,29,1,5,20,5,2019-02-17,w2019-02-17-b8
2019-02-12,25,2,5,20,5,2019-02-17,w2019-02-17-b8
2019-02-13,25,3,5,20,5,2019-02-17,w2019-02-17-b8
2019-02-14,27,4,5,20,5,2019-02-17,w2019-02-17-b8
2019-02-15,25,5,5,20,5,2019-02-17,w2019-02-17-b8
2019-02-16,26,6,5,20,5,2019-02-17,w2019-02-17-b8
2019-02-11,74,1,5,20,5,2019-02-17,w2019-02-17-b21
2019-02-12,64,2,5,20,5,2019-02-17,w2019-02-17-b21
2019-02-13,64,3,5,20,5,2019-02-17,w2019-02-17-b21
2019-02-14,70,4,5,20,5,2019-02-17,w2019-02-17-b21
2019-02-15,65,5,5,20,5,2019-02-17,w2019-02-17-b21
2019-02-16,68,6,5,20,5,2019-02-17,w2019-02-17-b21
2018-10-01,15,1,5,20,5,2018-10-07,w2018-10-07-b4
2018-10-02,13,2,5,20,5,2018-10-07,w2018-10-07-b4
2018-10-03,13,3,5,20,5,2018-10-07,w2018-10-07-b4
2018-10-04,14,4,5,20,5,2018-10-07,w2018-10-07-b4
2018-10-05,14,5,5,20,5,2018-10-07,w2018-10-07-b4
2018-10-06,13,6,5,20,5,2018-10-07,w2018-10-07-b4
2018-10-01,29,1,5,20,5,2018-10-07,w2018-10-07-b8
2018-10-02,26,2,5,20,5,2018-10-07,w2018-10-07-b8
2018-10-03,25,3,5,20,5,2018-10-07,w2018-10-07-b8
2018-10-04,27,4,5,20,5,2018-10-07,w2018-10-07-b8
2018-10-05,27,5,5,20,5,2018-10-07,w2018-10-07-b8
2018-10-06,26,6,5,20,5,2018-10-07,w2018-10-07-b8
2018-10-01,75,1,5,20,5,2018-10-07,w2018-10-07-b21
2018-10-02,68,2,5,20,5,2018-10-07,w2018-10-07-b21
2018-10-03,64,3,5,20,5,2018-10-07,w2018-10-07-b21
2018-10-04,70,4,5,20,5,2018-10-07,w2018-10-07-b21
2018-10-05,69,5,5,20,5,2018-10-07,w2018-10-07-b21
2018-10-06,66,6,5,20,5,2018-10-07,w2018-10-07-b21
2019-12-30,14,1,5,20,5,2020-01-05,w2020-01-05-b4
2019-12-31,13,2,5,20,5,2020-01-05,w2020-01-05-b4
2020-01-01,13,3,5,20,5,2020-01-05,w2020-01-05-b4
2020-01-02,14,4,5,20,5,2020-01-05,w2020-01-05-b4
2020-01-03,14,5,5,20,5,2020-01-05,w2020-01-05-b4
2019-12-30,27,1,5,20,5,2020-01-05,w2020-01-05-b8
2019-12-31,26,2,5,20,5,2020-01-05,w2020-01-05-b8
2020-01-01,26,3,5,20,5,2020-01-05,w2020-01-05-b8
2020-01-02,28,4,5,20,5,2020-01-05,w2020-01-05-b8
2020-01-03,28,5,5,20,5,2020-01-05,w2020-01-05-b8
2019-12-30,70,1,5,20,5,2020-01-05,w2020-01-05-b21
2019-12-31,67,2,5,20,5,2020-01-05,w2020-01-05-b21
2020-01-01,68,3,5,20,5,2020-01-05,w2020-01-05-b21
2020-01-02,71,4,5,20,5,2020-01-05,w2020-01-05-b21
2020-01-03,72,5,5,20,5,2020-01-05,w2020-01-05-b21
2020-11-16,13,1,5,20,5,2020-11-22,w2020-11-22-b4
2020-11-17,13,2,5,20,5,2020-11-22,w2020-11-22-b4
2020-11-18,13,3,5,20,5,2020-11-22,w2020-11-22-b4
2020-11-19,14,4,5,20,5,2020-11-22,w2020-11-22-b4
2020-11-20,13,5,5,20,5,2020-11-22,w2020-11-22-b4
2020-11-21,12,6,5,20,5,2020-11-22,w2020-11-22-b4
2020-11-16,25,1,5,20,5,2020-11-22,w2020-11-22-b8
2020-11-17,25,2,5,20,5,2020-11-22,w2020-11-22-b8
2020-11-18,25,3,5,20,5,2020-11-22,w2020-11-22-b8
2020-11-19,27,4,5,20,5,2020-11-22,w2020-11-22-b8
2020-11-20,26,5,5,20,5,2020-11-22,w2020-11-22-b8
2020-11-21,24,6,5,20,5,2020-11-22,w2020-11-22-b8
2020-11-16,65,1,5,20,5,2020-11-22,w2020-11-22-b21
2020-11-17,65,2,5,20,5,2020-11-22,w2020-11-22-b21
2020-11-18,65,3,5,20,5,2020-11-22,w2020-11-22-b21
2020-11-19,70,4,5,20,5,2020-11-22,w2020-11-22-b21
2020-11-20,66,5,5,20,5,2020-11-22,w2020-11-22-b21
2020-11-21,61,6,5,20,5,2020-11-22,w2020-11-22-b21
2020-01-27,14,1,5,20,5,2020-02-02,w2020-02-02-b4
2020-01-28,14,2,5,20,5,2020-02-02,w2020-02-02-b4
2020-01-29,14,3,5,20,5,2020-02-02,w2020-02-02-b4
2020-01-30,14,4,5,20,5,2020-02-02,w2020-02-02-b4
2020-01-31,14,5,5,20,5,2020-02-02,w2020-02-02-b4
2020-02-01,14,6,5,20,5,2020-02-02,w2020-02-02-b4
2020-01-27,28,1,5,20,5,2020-02-02,w2020-02-02-b8
2020-01-28,28,2,5,20,5,2020-02-02,w2020-02-02-b8
2020-01-29,28,3,5,20,5,2020-02-02,w2020-02-02-b8
2020-01-30,27,4,5,20,5,2020-02-02,w2020-02-02-b8
2020-01-31,27,5,5,20,5,2020-02-02,w2020-02-02-b8
2020-02-01,27,6,5,20,5,2020-02-02,w2020-02-02-b8
2020-01-27,72,1,5,20,5,2020-02-02,w2020-02-02-b21
2020-01-28,72,2,5,20,5,2020-02-02,w2020-02-02-b21
2020-01-29,72,3,5,20,5,2020-02-02,w2020-02-02-b21
2020-01-30,69,4,5,20,5,2020-02-02,w2020-02-02-b21
2020-01-31,70,5,5,20,5,2020-02-02,w2020-02-02-b21
2020-02-01,69,6,5,20,5,2020-02-02,w2020-02-02-b21
2020-10-12,12,1,5,20,5,2020-10-18,w2020-10-18-b4
2020-10-13,13,2,5,20,5,2020-10-18,w2020-10-18-b4
2020-10-14,11,3,5,20,5,2020-10-18,w2020-10-18-b4
2020-10-15,13,4,5,20,5,2020-10-18,w2020-10-18-b4
2020-10-16,13,5,5,20,5,2020-10-18,w2020-10-18-b4
2020-10-17,12,6,5,20,5,2020-10-18,w2020-10-18-b4
2020-10-12,24,1,5,20,5,2020-10-18,w2020-10-18-b8
2020-10-13,26,2,5,20,5,2020-10-18,w2020-10-18-b8
2020-10-14,22,3,5,20,5,2020-10-18,w2020-10-18-b8
2020-10-15,26,4,5,20,5,2020-10-18,w2020-10-18-b8
2020-10-16,26,5,5,20,5,2020-10-18,w2020-10-18-b8
2020-10-17,24,6,5,20,5,2020-10-18,w2020-10-18-b8
2020-10-12,63,1,5,20,5,2020-10-18,w2020-10-18-b21
2020-10-13,68,2,5,20,5,2020-10-18,w2020-10-18-b21
2020-10-14,57,3,5,20,5,2020-10-18,w2020-10-18-b21
2020-10-15,68,4,5,20,5,2020-10-18,w2020-10-18-b21
2020-10-16,67,5,5,20,5,2020-10-18,w2020-10-18-b21
2020-10-17,61,6,5,20,5,2020-10-18,w2020-10-18-b21
2019-10-21,15,1,5,20,5,2019-10-27,w2019-10-27-b4
2019-10-22,13,2,5,20,5,2019-10-27,w2019-10-27-b4
2019-10-23,13,3,5,20,5,2019-10-27,w2019-10-27-b4
2019-10-24,14,4,5,20,5,2019-10-27,w2019-10-27-b4
2019-10-25,12,5,5,20,5,2019-10-27,w2019-10-27-b4
2019-10-26,15,6,5,20,5,2019-10-27,w2019-10-27-b4
2019-10-21,30,1,5,20,5,2019-10-27,w2019-10-27-b8
2019-10-22,26,2,5,20,5,2019-10-27,w2019-10-27-b8
2019-10-23,25,3,5,20,5,2019-10-27,w2019-10-27-b8
2019-10-24,28,4,5,20,5,2019-10-27,w2019-10-27-b8
2019-10-25,24,5,5,20,5,2019-10-27,w2019-10-27-b8
2019-10-26,29,6,5,20,5,2019-10-27,w2019-10-27-b8
2019-10-21,77,1,5,20,5,2019-10-27,w2019-10-27-b21
2019-10-22,68,2,5,20,5,2019-10-27,w2019-10-27-b21
2019-10-23,65,3,5,20,5,2019-10-27,w2019-10-27-b21
2019-10-24,73,4,5,20,5,2019-10-27,w2019-10-27-b21
2019-10-25,61,5,5,20,5,2019-10-27,w2019-10-27-b21
2019-10-26,75,6,5,20,5,2019-10-27,w2019-10-27-b21
2019-06-17,14,1,5,20,5,2019-06-23,w2019-06-23-b4
2019-06-18,14,2,5,20,5,2019-06-23,w2019-06-23-b4
2019-06-19,13,3,5,20,5,2019-06-23,w2019-06-23-b4
2019-06-20,14,4,5,20,5,2019-06-23,w2019-06-23-b4
2019-06-21,13,5,5,20,5,2019-06-23,w2019-06-23-b4
2019-06-22,14,6,5,20,5,2019-06-23,w2019-06-23-b4
2019-06-17,28,1,5,20,5,2019-06-23,w2019-06-23-b8
2019-06-18,28,2,5,20,5,2019-06-23,w2019-06-23-b8
2019-06-19,26,3,5,20,5,2019-06-23,w2019-06-23-b8
2019-06-20,28,4,5,20,5,2019-06-23,w2019-06-23-b8
2019-06-21,25,5,5,20,5,2019-06-23,w2019-06-23-b8
2019-06-22,28,6,5,20,5,2019-06-23,w2019-06-23-b8
2019-06-17,72,1,5,20,5,2019-06-23,w2019-06-23-b21
2019-06-18,71,2,5,20,5,2019-06-23,w2019-06-23-b21
2019-06-19,68,3,5,20,5,2019-06-23,w2019-06-23-b21
2019-06-20,71,4,5,20,5,2019-06-23,w2019-06-23-b21
2019-06-21,65,5,5,20,5,2019-06-23,w2019-06-23-b21
2019-06-22,71,6,5,20,5,2019-06-23,w2019-06-23-b21
2020-07-20,13,1,5,20,5,2020-07-26,w2020-07-26-b4
2020-07-21,13,2,5,20,5,2020-07-26,w2020-07-26-b4
2020-07-22,12,3,5,20,5,2020-07-26,w2020-07-26-b4
2020-07-23,13,4,5,20,5,2020-07-26,w2020-07-26-b4
2020-07-24,13,5,5,20,5,2020-07-26,w2020-07-26-b4
2020-07-25,12,6,5,20,5,2020-07-26,w2020-07-26-b4
2020-07-20,26,1,5,20,5,2020-07-26,w2020-07-26-b8
2020-07-21,26,2,5,20,5,2020-07-26,w2020-07-26-b8
2020-07-22,23,3,5,20,5,2020-07-26,w2020-07-26-b8
2020-07-23,25,4,5,20,5,2020-07-26,w2020-07-26-b8
2020-07-24,25,5,5,20,5,2020-07-26,w2020-07-26-b8
2020-07-25,23,6,5,20,5,2020-07-26,w2020-07-26-b8
2020-07-20,66,1,5,20,5,2020-07-26,w2020-07-26-b21
2020-07-21,68,2,5,20,5,2020-07-26,w2020-07-26-b21
2020-07-22,58,3,5,20,5,2020-07-26,w2020-07-26-b21
2020-07-23,65,4,5,20,5,2020-07-26,w2020-07-26-b21
