manufacturing_orders.uid,manufacturing_orders.name,manufacturing_orders.release_date,manufacturing_orders.due_date,manufacturing_orders.max_cost,manufacturing_orders.problem_id
mo:dc1fe746be5b4db9bb863bc86d063b9f,mo018,122,202,,pb:018c320be46147e6844687c5f104800f
mo:762726048e34402ab333319deceafcdb,mo019,370,460,,pb:018c320be46147e6844687c5f104800f
mo:db425643b01942af94c95154c2b4264f,mo020,544,604,,pb:018c320be46147e6844687c5f104800f
mo:392f7cb56c26461985e5dfc6d77797d4,mo001,331,401,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:e86f235ffe094f44a6a339708b10ed99,mo002,133,193,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:88d8d97f52054ae6b085a926312e51ae,mo003,586,646,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:4e61494f7de341dc8a29ed0b58a690a3,mo004,565,615,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:cf4cfae5f8084f7c83613527dcbf3be8,mo005,243,313,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:718e5d0d3be14baa8ed56ddfd6cb8499,mo006,609,659,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:63b4f6ab248e4e82b54aeca2e90ee447,mo007,502,592,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:856917d513194361a455313277102c49,mo008,349,429,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:136bfd2caee744d28fd37658db364ebd,mo009,483,563,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:db1d625aaa8e478f90c4f34230f8c5af,mo010,376,466,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:c9b275e9a2994fe79871dfddc6cebe02,mo011,143,233,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:f881c5a4ee0f44e5b1390bce82ef441d,mo012,406,496,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:8ca6c01abf5f45e883eeb66524073ce9,mo013,622,702,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:c2031202bae348f7b8765fd0af54fdff,mo014,348,408,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:a39a6a6130af4ff1b2ed7d923fb7ca45,mo015,21,101,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:3499526199db4cf884f8f3e61b634553,mo016,443,513,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:6c16a942a8db4e60b9248b5ac42e4203,mo017,117,167,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:05e897007bd947988cc40833c4ab55ce,mo018,29,119,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:44ede3812cbb43b4b6ea781e1a4292be,mo019,166,226,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:d778d42e74df4690b1fd3bfc94b290b3,mo020,484,554,,pb:b920c04a4b0742c1ad2f83d1612a7b73
mo:d3e23f8d496b4b368dfa398545ccea59,mo001,511,581,,pb:d835f8091dd947eb977d405d7783c0d7
mo:001284fabac2490695887c1793d429d1,mo002,70,150,,pb:d835f8091dd947eb977d405d7783c0d7
mo:ca7f9a486469493fa93c00861ed64036,mo003,207,277,,pb:d835f8091dd947eb977d405d7783c0d7
mo:c2b3f2b972124cb79b938e9617ea21ab,mo004,550,600,,pb:d835f8091dd947eb977d405d7783c0d7
mo:995fc4f1fa234a799dcd7cf1de48bd3c,mo005,69,149,,pb:d835f8091dd947eb977d405d7783c0d7
mo:d0251e4a327944f58a94a215f0b691c1,mo006,139,219,,pb:d835f8091dd947eb977d405d7783c0d7
mo:cb6deeb5cb5d46aaa6f7c5cced988c60,mo007,17,97,,pb:d835f8091dd947eb977d405d7783c0d7
mo:b6fd9f13b53a4280ab33fa513776c936,mo008,425,475,,pb:d835f8091dd947eb977d405d7783c0d7
mo:f17e0baa4105447a83bd8bd56f5c1187,mo009,454,534,,pb:d835f8091dd947eb977d405d7783c0d7
mo:d2795148aac647b89f1e3e8be7d8c9ba,mo010,471,521,,pb:d835f8091dd947eb977d405d7783c0d7
mo:ef1b9fc4ccbf44808bfd40e94269f14f,mo011,94,154,,pb:d835f8091dd947eb977d405d7783c0d7
mo:5ee576e4bcd84bceace84818e4b07b30,mo012,272,352,,pb:d835f8091dd947eb977d405d7783c0d7
mo:fae7b8fca35f4280abdbb44275f7127c,mo013,53,143,,pb:d835f8091dd947eb977d405d7783c0d7
mo:8b316c09d9fc4f1f8a956d47c37f7751,mo014,91,141,,pb:d835f8091dd947eb977d405d7783c0d7
mo:2634cd40e23a495aa94ab9cb50011834,mo015,285,335,,pb:d835f8091dd947eb977d405d7783c0d7
mo:e22761540cb74ea2a6d9f91fa314b635,mo016,383,443,,pb:d835f8091dd947eb977d405d7783c0d7
mo:bad1f39a4e64463898256e07066f66a7,mo017,457,537,,pb:d835f8091dd947eb977d405d7783c0d7
mo:c9b8fc6e6ec142cca42428e40cee4fde,mo018,387,477,,pb:d835f8091dd947eb977d405d7783c0d7
mo:f528bc2ea02e408d8a06831d0b793b31,mo019,117,167,,pb:d835f8091dd947eb977d405d7783c0d7
mo:21dab73ccae147b191dbd873ad497539,mo020,60,110,,pb:d835f8091dd947eb977d405d7783c0d7
mo:e1b720146633483c87d530324f0ab99e,mo001,142,202,,pb:02ad52ad42614fc0b6640719efa886b3
mo:140969e85fc248db9e22e82eb6558117,mo002,544,634,,pb:02ad52ad42614fc0b6640719efa886b3
mo:784d86f677bd47cea930cdde3d32ca17,mo003,387,467,,pb:02ad52ad42614fc0b6640719efa886b3
mo:fb240ad0021d430abb1d285cc7d31b1e,mo004,480,530,,pb:02ad52ad42614fc0b6640719efa886b3
mo:260a1cac9f464b0abe6406eee23641ca,mo005,607,667,,pb:02ad52ad42614fc0b6640719efa886b3
mo:3f0f2e113ca64f55a20b2a6ab2e0d249,mo006,586,636,,pb:02ad52ad42614fc0b6640719efa886b3
mo:3f7f4510d4e0420691c7a324e1094867,mo007,419,489,,pb:02ad52ad42614fc0b6640719efa886b3
mo:79e740ddb2e445a284ae08c22538e951,mo008,152,232,,pb:02ad52ad42614fc0b6640719efa886b3
mo:6d76b77ed2a9480892682636f1a92500,mo009,566,656,,pb:02ad52ad42614fc0b6640719efa886b3
mo:2502d24bc7e54ff895c0f5bc7f78940d,mo010,582,632,,pb:02ad52ad42614fc0b6640719efa886b3
mo:cd087400659548bab6e10b65e3632e78,mo011,226,316,,pb:02ad52ad42614fc0b6640719efa886b3
mo:40e1999857114dffa47224d80314327f,mo012,412,472,,pb:02ad52ad42614fc0b6640719efa886b3
mo:4c0850ee367d4769834bf2f0b60208e8,mo013,172,242,,pb:02ad52ad42614fc0b6640719efa886b3
mo:7e224c305f0943b4895a7ec3bf01ff0f,mo014,225,285,,pb:02ad52ad42614fc0b6640719efa886b3
mo:b814dd50944a4253967e3d1ef4ad09b4,mo015,172,242,,pb:02ad52ad42614fc0b6640719efa886b3
mo:b2abeaa135cd4aca821ccb0a621c779b,mo016,602,692,,pb:02ad52ad42614fc0b6640719efa886b3
mo:0557f64e263f40cfb72aa72ba7b45b39,mo017,458,528,,pb:02ad52ad42614fc0b6640719efa886b3
mo:8304f8bb2bae46f6aa86553ed6ec3a0f,mo018,251,311,,pb:02ad52ad42614fc0b6640719efa886b3
mo:0ebc2d7876194b55993a4c08e14c937a,mo019,604,684,,pb:02ad52ad42614fc0b6640719efa886b3
mo:457f3470a085469da8217400f226989a,mo020,278,328,,pb:02ad52ad42614fc0b6640719efa886b3
mo:3b58ae86cc5d43c3aaf26a8376ea3dda,mo001,390,480,,pb:c822821481a14566bb33597b028d9920
mo:b8f22b2e8d1b49e6a577733c60ae28a8,mo002,446,516,,pb:c822821481a14566bb33597b028d9920
mo:3ddec6e03cbc48e6a17e849e72ac9546,mo003,151,241,,pb:c822821481a14566bb33597b028d9920
mo:638c292ec0fa4bdd9d171eae8e5ffc94,mo004,596,686,,pb:c822821481a14566bb33597b028d9920
mo:c549cccfd1cb4393baccd0bcfbc5abe1,mo005,438,518,,pb:c822821481a14566bb33597b028d9920
mo:4a2e092a58c449eb8e8fe4861dc1c2e6,mo006,250,340,,pb:c822821481a14566bb33597b028d9920
mo:b25415f3d0f94af28467af6f183612c3,mo007,587,677,,pb:c822821481a14566bb33597b028d9920
mo:01aad12577f6454aa5d77f0c72251cc1,mo008,339,429,,pb:c822821481a14566bb33597b028d9920
mo:810308bb9c7f47af88f9004b2f923a1b,mo009,399,489,,pb:c822821481a14566bb33597b028d9920
mo:af5f9af778864ecbade6d16324b19677,mo010,572,632,,pb:c822821481a14566bb33597b028d9920
mo:09376c4ad02e47389061346fe1adeba6,mo011,334,384,,pb:c822821481a14566bb33597b028d9920
mo:b0b8857a22ee4aadaaa431a38666e035,mo012,80,150,,pb:c822821481a14566bb33597b028d9920
mo:5b1e147f95664247907f27deac593ab9,mo013,433,503,,pb:c822821481a14566bb33597b028d9920
mo:b01f58021fde4f9e91e926bbee41c008,mo014,31,121,,pb:c822821481a14566bb33597b028d9920
mo:8ed4a1f985c54286a3da0ffb707a513c,mo015,25,105,,pb:c822821481a14566bb33597b028d9920
mo:ed7393c01d674fe7ad686e172a2ed2b4,mo016,606,676,,pb:c822821481a14566bb33597b028d9920
mo:0db9cdc2f5f1489c9ed36910542ec1ba,mo017,222,312,,pb:c822821481a14566bb33597b028d9920
mo:fef08065e1a64bc1b3628252814fc2f0,mo018,352,442,,pb:c822821481a14566bb33597b028d9920
mo:fc2c0b2d24b84dc59db259baebbb4038,mo019,560,620,,pb:c822821481a14566bb33597b028d9920
mo:502768c0905a4cf1af0ab94e7e5992e6,mo020,402,482,,pb:c822821481a14566bb33597b028d9920
mo:a6e438539ee7401ca1f65987782654e6,mo001,150,220,,pb:08f8a9dfedb549a596200577423d1eee
mo:79c142d857034acb9634677c969fd7c1,mo002,331,381,,pb:08f8a9dfedb549a596200577423d1eee
mo:692bb306d6b24328ab6ad88f200843b8,mo003,608,678,,pb:08f8a9dfedb549a596200577423d1eee
mo:44f689747fb34d17ae9cc6091d0341a7,mo004,0,70,,pb:08f8a9dfedb549a596200577423d1eee
mo:f27be968dc4441c9a53c88190de1ae9c,mo005,385,445,,pb:08f8a9dfedb549a596200577423d1eee
mo:9bacf42d251e466788d8e4b9464b873b,mo006,613,663,,pb:08f8a9dfedb549a596200577423d1eee
mo:46486f7d45f64407949167dea3ff3a4f,mo007,351,411,,pb:08f8a9dfedb549a596200577423d1eee
mo:2274fe72617742fcbba3293a5ae39e5a,mo008,430,510,,pb:08f8a9dfedb549a596200577423d1eee
mo:35d8efcb784849eba4658f1eb1a76dd0,mo009,394,444,,pb:08f8a9dfedb549a596200577423d1eee
mo:4424a5d443b742e7a3fdfd61a893d2d2,mo010,332,422,,pb:08f8a9dfedb549a596200577423d1eee
mo:a177754a42674a95971e1b64d1cf1521,mo011,453,513,,pb:08f8a9dfedb549a596200577423d1eee
mo:bdd766db2cc34842a188b53cb3288416,mo012,242,322,,pb:08f8a9dfedb549a596200577423d1eee
mo:f4b297592ac14395b510ad23adaa352d,mo013,240,300,,pb:08f8a9dfedb549a596200577423d1eee
mo:ce88fcf793b34be3a4ab0ad15fe3049f,mo014,503,593,,pb:08f8a9dfedb549a596200577423d1eee
mo:5ef42344c04f45f6bd80576f19770e65,mo015,588,638,,pb:08f8a9dfedb549a596200577423d1eee
mo:b474e652ae1349eba83a76e76aa55219,mo016,93,183,,pb:08f8a9dfedb549a596200577423d1eee
mo:62a487e703854912b517f19f722fd973,mo017,406,466,,pb:08f8a9dfedb549a596200577423d1eee
mo:4a89e0755761461abf0258faba459580,mo018,240,330,,pb:08f8a9dfedb549a596200577423d1eee
mo:1ced2a95536a41cea0d9dc5f42afceca,mo019,616,666,,pb:08f8a9dfedb549a596200577423d1eee
mo:199374c4305140bfa3c270280836026a,mo020,191,281,,pb:08f8a9dfedb549a596200577423d1eee
mo:8032512e16c34b7fb1251699d41e1800,mo001,591,651,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:37cd33c4369046118bcaeabd2fc75bf9,mo002,603,663,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:4e68398273314ed2b1ff8e6e06b6562e,mo003,474,554,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:eb32c208970648ab926b1bccc521cbac,mo004,34,84,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:d9667e042b61463fbcaeb2d293a4b533,mo005,281,371,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:8f545bf23c1d469bb7227ab4cb3cdb92,mo006,463,513,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:1e93a96cf0f54ecca3b5f6188722cfa2,mo007,235,285,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:a8cf292a251843d1b233132ac7b6e6e2,mo008,530,590,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:cf7eccd4524248a9b64253e5af9ba9f7,mo009,522,592,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:a512f641d8a24708888bfaf67b064731,mo010,379,449,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:2a9132e0b1574c31ab0952008eb5f8eb,mo011,350,400,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:279456b659824f5bba7e6e7823f234d3,mo012,193,243,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:988051c9ae0641858dffd94011745fa2,mo013,607,677,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:f9e302ad0f604cf0ab71bce1dac05b8b,mo014,538,628,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:d752489f28304cd4979ebf91ffc1ad3d,mo015,357,437,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:5dd1c74f87544bb1b2063673ff221101,mo016,613,673,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:ee5ce9e746f24c22bb2b3f99276c03a0,mo017,85,145,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:522c93eb3cbe4d2694a7abd959481fef,mo018,617,707,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:0c582cd0139142c59d5bfd2c61b30452,mo019,228,298,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:d167c469ba304c2b9c2c2ef53522b32c,mo020,31,111,,pb:d761c6d5ac654b11813cb92ca7604b2c
mo:a54799233da3427ba19820813208ec93,mo001,69,149,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:80ed9aa30a5142aaad41cbef79cf99cc,mo002,437,507,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:b4ce0aa3839a4da7ae59b8684ca85ffd,mo003,522,602,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:9e6d5da5cc49459c82f7740accbc0c26,mo004,481,531,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:006fb3c48bab4c06aa5d282e477e27c5,mo005,127,187,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:7bd1bb6257bc4b4aa027045119d92f5d,mo006,283,343,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:8fc6c6cda8074d99bee8b907f398194d,mo007,448,538,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:178761d6f5b445c58e5963adea6d2d1c,mo008,348,398,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:64d3e27ce97944be893ead9588f6bf89,mo009,244,314,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:a303b32587884a08935bed557fb39808,mo010,591,641,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:02c516c0c848451fafaf2a6915645e7a,mo011,594,644,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:21da0d5056f445e5ab0fa989014dac99,mo012,345,425,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:8fa284917f0649bea3f0dd9c79599f8d,mo013,391,461,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:46f852c5654145419c6af56f2e778956,mo014,457,527,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:d53d95f1f50847ca9e821e547ecc4ee6,mo015,79,169,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:13a48dba8e6144da97b0cc041506bab9,mo016,220,310,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:d926bc15541547e696689bfb848c305b,mo017,614,664,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:dfbe4709da89440fa989b41c0fc87f03,mo018,103,153,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:226742ded8484f7683ea70faabfbdc73,mo019,241,311,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:c953a8cd641a444e95cad84e1d61aa9b,mo020,18,78,,pb:6dc6305f91074d4eb4e4208acd194cb1
mo:0940dbbdb9fb41cc972b811a1f353294,mo001,581,661,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:68ea1d6ee7da4313bbed62a6ebc9fbeb,mo002,338,388,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:6c7ef28fd5b64a58af913c71215a9c78,mo003,586,666,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:7f86c016610943dc92a86415e83e1404,mo004,209,279,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:c9e99bf4de144e39b5329e2915a30b44,mo005,591,661,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:cecb47b651d44e07bc2ee7897bec2a78,mo006,523,583,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:96564f848ae841c0a28bdb125c5b5139,mo007,481,561,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:fd252a595386457883442d3db77ef805,mo008,197,287,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:ec006bb29ad94d0292ab786f6b1000e5,mo009,178,268,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:cbdca4ab509042cc811df1830e451921,mo010,473,563,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:a99f57b9f5894742b6992347cc9cc727,mo011,468,528,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:8606ff4eedd247d1b18c871f1fd3284a,mo012,331,391,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:9635cb84440947dab26f900093801ae6,mo013,247,317,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:0e5360307ced4dea8f34ac03c042a10b,mo014,230,320,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:85fdfa3761b44b148d5b958cb9005d45,mo015,166,236,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:8adb2424f57e46ef91d384e518816d04,mo016,547,627,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:98b932acc5034934b8da8111e8f32700,mo017,200,270,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:044a7c7cb7a84d3fbe9be3e51de07a48,mo018,363,413,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:3fcc4aa61069416ba11c5c162b644d11,mo019,337,397,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:61b5adcde50c4e00bd27a16870d9140a,mo020,81,171,,pb:0f41cce715b5458ebfb196cb5a8a1b4d
mo:9bcaeb20b6b74f0eae0d716dc8ecbae8,mo001,524,604,,pb:ca4e74ad500040408a4abe294101fe63
mo:b52e04fa8a824eacb8369c8e4293a7a4,mo002,404,474,,pb:ca4e74ad500040408a4abe294101fe63
mo:7e8cdf37151a498ba2bffe462e6177cf,mo003,115,175,,pb:ca4e74ad500040408a4abe294101fe63
mo:d8258378fe0147cab4e65a0001b6534b,mo004,221,271,,pb:ca4e74ad500040408a4abe294101fe63
mo:5ce11017abd64e3e938ee9496a403826,mo005,518,578,,pb:ca4e74ad500040408a4abe294101fe63
mo:3f313146175147339b9cf45fa01c4139,mo006,206,266,,pb:ca4e74ad500040408a4abe294101fe63
mo:d2104f02a8244d81a768b0a8d9614455,mo007,360,420,,pb:ca4e74ad500040408a4abe294101fe63
mo:d9206fae9f034072ade35a31b821d159,mo008,336,426,,pb:ca4e74ad500040408a4abe294101fe63
mo:343ca58354994e379a8346edcb332092,mo009,587,637,,pb:ca4e74ad500040408a4abe294101fe63
mo:07ced769b9a748a09c33c9d05261e30e,mo010,97,147,,pb:ca4e74ad500040408a4abe294101fe63
mo:eb878c71a32a4cc6afbb9e487ff5aaa2,mo011,50,100,,pb:ca4e74ad500040408a4abe294101fe63
mo:19fb99f12bc845b2b82c0547ce41606f,mo012,287,377,,pb:ca4e74ad500040408a4abe294101fe63
mo:30740d698fec44f98ee4495a401c63e7,mo013,8,98,,pb:ca4e74ad500040408a4abe294101fe63
mo:70305e326c254d15af63a1888fc65069,mo014,333,403,,pb:ca4e74ad500040408a4abe294101fe63
mo:2837c9c773ee418cad6146c399204504,mo015,435,525,,pb:ca4e74ad500040408a4abe294101fe63
mo:d67e934c11af44fbadfbc89c8a0b3fdc,mo016,583,643,,pb:ca4e74ad500040408a4abe294101fe63
mo:78a2f3cc828e4f79a2d49f4b30bc8c0e,mo017,522,572,,pb:ca4e74ad500040408a4abe294101fe63
mo:3fb47f41b959449487527b5fdac56477,mo018,478,568,,pb:ca4e74ad500040408a4abe294101fe63
mo:23878eec8d434d298ecf58ccd20db673,mo019,367,447,,pb:ca4e74ad500040408a4abe294101fe63
mo:a90b9064e78d4299bbbdf60c089659a4,mo020,334,424,,pb:ca4e74ad500040408a4abe294101fe63
