manufacturing_orders.uid,manufacturing_orders.name,manufacturing_orders.release_date,manufacturing_orders.due_date,manufacturing_orders.max_cost,manufacturing_orders.problem_id
mo:7a46d9ef9fe4482b86b88e1681e2bcc8,mo013,425,495,,pb:5a3350e607934a28b2a975d1fe72351a
mo:f667742660c74594b1b86b7dbb4cbc94,mo014,494,554,,pb:5a3350e607934a28b2a975d1fe72351a
mo:549708bb96564bb7bccb9151ba20ad62,mo015,289,349,,pb:5a3350e607934a28b2a975d1fe72351a
mo:d4479a72d1b549c5ae4cfd3f79b870d8,mo016,69,139,,pb:5a3350e607934a28b2a975d1fe72351a
mo:c3651f74548a45cdb9338c144a7509a3,mo017,31,101,,pb:5a3350e607934a28b2a975d1fe72351a
mo:c1181fae786c4482bddf0b1128bf1b79,mo018,409,469,,pb:5a3350e607934a28b2a975d1fe72351a
mo:8ebcefebcc144cafa4c805178cbc0d34,mo019,455,525,,pb:5a3350e607934a28b2a975d1fe72351a
mo:5f95a847b3254d25b46044a7f6a82d30,mo020,295,385,,pb:5a3350e607934a28b2a975d1fe72351a
mo:48f2f19e0b4c4268bd42d938b5d94fff,mo001,124,184,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:9ca9489a06e64eaa8dc32ce19ba08722,mo002,454,514,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:62304888a4cb4171b06bec73340a204c,mo003,58,128,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:a2105cf5663f4205803c4229acdb697f,mo004,436,526,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:719f213ada4f44e88add18f505433cb9,mo005,199,269,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:8938450b1f1d4505b7ec08c8ddcfd0e4,mo006,516,596,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:39866f7fe83742ab9a07efdfc0f7ee4a,mo007,247,297,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:2014197751f4477e97a6a6a1001d83ba,mo008,350,420,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:6fd4950cb1ff489f8ca7c8c6746ae08d,mo009,240,300,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:6f3a30f57bd94334afa80a8c00b6bf24,mo010,129,209,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:cbd930f55ba54d92b0f102e7be5be895,mo011,384,434,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:5ca5a426d7c347498ade3d69a770028e,mo012,175,245,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:e4e90a80192c4dc1a6bd951f91806ec4,mo013,76,136,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:d3a2ba89034748a2b93246fb2b87c245,mo014,377,457,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:07cea7153db24c21bc63c81728470ff5,mo015,280,350,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:c26698d12e70468f8196524495d0591e,mo016,437,507,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:a21eb4d3e1ea4561b2d1ef55ff97aa88,mo017,385,465,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:4932d270efbe4b19964a2d18e761f0f0,mo018,259,339,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:31b1c6dd0e6b4097a27e56b48f86022e,mo019,492,552,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:101e6b5aaf46441c93011c2cb5544e8f,mo020,197,277,,pb:ebf9eefb2b154161a5e536b4592b7197
mo:6143fd9974174731a1ea759d15013514,mo001,161,251,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:0c9500e53b9a4a4fbfdfdee01f72208f,mo002,387,457,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:2aecd3038fc7425ca87d3f85384f5bef,mo003,10,70,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:c9c46987f7a543d38e31ead12dc6eabe,mo004,159,229,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:e378db6459f7460eab4acb28839e627e,mo005,5,75,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:cf504900cf60446b8e448d323ff02a8b,mo006,54,144,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:81ee8d8d4db44d52b5d6a71d66002bc2,mo007,132,202,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:ad42274a3d614e79a400d0ffab770651,mo008,205,295,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:2ad87b4cdde84c4593017fc388f4a6a7,mo009,290,340,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:a2180581f9f64eefbc8363c122b9befd,mo010,242,302,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:37ea7705a7aa48539e6a166cb293e01e,mo011,171,251,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:287e92880a5c467aab5e7f8219f4187d,mo012,387,477,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:57b13d4a17724f3a842d28f3291a27fb,mo013,443,513,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:bff67f1b27f745748a0b41d1180e4305,mo014,68,128,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:b1d144d3269e44c9af92d6f970537be7,mo015,261,351,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:595aaeee5caf43d2aeb0b0fdde43e848,mo016,377,447,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:3025e5ff9e2c493c9d89c291c2703e2f,mo017,0,70,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:ed6d022a552646d98cafa8feaab99c93,mo018,81,171,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:7ee256c7c6c4467093a3553cd3e35b2b,mo019,151,231,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:699a13fa767c4e119078251a439c1c8b,mo020,379,439,,pb:51f595b3dc9f47198b760e5d114c20dd
mo:11b44afd280342bcb66057590724d980,mo001,352,412,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:97023e31d38b4ca5b7e99b5a8be2bf40,mo002,122,182,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:0aebf8c4173a40169b1ba579bf14dcf6,mo003,514,584,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:32445d52bb774346849c7308fba4c002,mo004,477,567,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:a1fee45c1ea546ca8b572f248395fa4e,mo005,10,60,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:c2f45fcb14cb424aa1a4d34022bbc3e1,mo006,241,321,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:130ae2ee7c1745e0a4cc1e1919f19ae2,mo007,403,483,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:0c86c430c0a14147abb4695e2091dc59,mo008,151,201,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:9b69957089714990b047efec0004756e,mo009,510,590,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:aa396c1419c24612a1a0b430422bba41,mo010,222,282,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:bfc9476fb31241419df1f77a736c527d,mo011,262,312,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:2ef82dc700694a3dace8b0383992c7f7,mo012,270,330,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:226ec228cd4346ed97b6a891481891cc,mo013,256,346,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:2d3ab4e962f04a88a06618fb9fcda319,mo014,516,586,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:9211b07703d540d09ef3eca2a1cb3707,mo015,2,62,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:e1765bf21dc84407a7e9f54cb0f9bef1,mo016,186,276,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:97223ba209d34055b822fa8e9cf87806,mo017,57,137,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:071be274b6754bc48c8ea8cb976341a9,mo018,312,372,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:e73c478412af40f7a6ca0040c2bb5d9f,mo019,467,537,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:902bb2db4d7d4863ad0628015d520995,mo020,292,382,,pb:9548b1a3dec04cf28f745a5d5f00f83b
mo:683fdbd39dee42bb9635a3ae9b033048,mo001,318,388,,pb:d378b8987e734b019d3ba6c3224b1135
mo:db053b75aaa64f0dbbea173afc2c0b4b,mo002,446,496,,pb:d378b8987e734b019d3ba6c3224b1135
mo:ffc0f76619904dfcba7f7cedcd0463e1,mo003,501,571,,pb:d378b8987e734b019d3ba6c3224b1135
mo:30d404b38dd3406390d188a8c75e36b7,mo004,417,477,,pb:d378b8987e734b019d3ba6c3224b1135
mo:4eb7b1b128a1430787e00ff74eeac07e,mo005,685,765,,pb:d378b8987e734b019d3ba6c3224b1135
mo:e75a44bae5ed4b459db18263439c1c7b,mo006,60,110,,pb:d378b8987e734b019d3ba6c3224b1135
mo:64489531c8244e7e95eda239272c6ac0,mo007,543,633,,pb:d378b8987e734b019d3ba6c3224b1135
mo:db710421fbdb43608c0689dc3aa6e95d,mo008,403,453,,pb:d378b8987e734b019d3ba6c3224b1135
mo:85571bbd3590473397ddcfc09db47ca1,mo009,682,752,,pb:d378b8987e734b019d3ba6c3224b1135
mo:548e60cb00d745459fb9e616f7c2a049,mo010,631,681,,pb:d378b8987e734b019d3ba6c3224b1135
mo:07dfae3be7c84a6f81e2387fb10a9e6d,mo001,462,532,,pb:b950fb5e144040c08c73dba78bbe232e
mo:f592e46e9caa4b64b06b3371dc3a7ae6,mo002,333,383,,pb:b950fb5e144040c08c73dba78bbe232e
mo:e4d69bdc488844019c22384cd6e4d003,mo003,480,560,,pb:b950fb5e144040c08c73dba78bbe232e
mo:814066c9d7f847188f541bc6456f9056,mo004,56,116,,pb:b950fb5e144040c08c73dba78bbe232e
mo:e85b74ba68b04e71b17852077b089edd,mo005,443,523,,pb:b950fb5e144040c08c73dba78bbe232e
mo:dbab61a8a4c14d33a54c2f50200c8acf,mo006,678,758,,pb:b950fb5e144040c08c73dba78bbe232e
mo:48e6525f815b41adac0d6d9f8ce2f829,mo007,4,84,,pb:b950fb5e144040c08c73dba78bbe232e
mo:a0a4a55e0e2b46ed80a0fe4b26796b05,mo008,690,780,,pb:b950fb5e144040c08c73dba78bbe232e
mo:154e11c90ff34842b41e25ca375900c5,mo009,673,753,,pb:b950fb5e144040c08c73dba78bbe232e
mo:31c8139753ae4ae39b4d3623027a1e46,mo010,70,150,,pb:b950fb5e144040c08c73dba78bbe232e
mo:d5108f22f64848a89d40084224d7b171,mo001,299,369,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:da8ed580385044c0afe33ecd2b8c483a,mo002,82,152,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:434ed6d84d9b4036b4db58a8f8af5e48,mo003,666,716,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:714b097e02cb4ea2a9cd605207ac5cfd,mo004,339,399,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:eaf8433d21694182864bc765fd61923d,mo005,374,424,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:1e8162c1f3d7487199de4866fd9744c5,mo006,617,697,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:1349986e96a241328c33f3a24cdbdc6a,mo007,367,437,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:f24442de78d0470cafd332640da534c5,mo008,478,538,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:e455ec19e31a4b3eb97978d7e4fc3715,mo009,348,428,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:cd507c7f4a0a4a9e93215a4bf48a2318,mo010,685,775,,pb:b0478eca69f944529fda8e57c0ae0d17
mo:d14ff07beec642a593e1da719adece3b,mo001,702,752,,pb:6e918be12c0346669e26a09f5f1608da
mo:ba0ec996fdf543cd8774dfcf64de8b17,mo002,255,325,,pb:6e918be12c0346669e26a09f5f1608da
mo:2c0ea6962ac7425cb63e9f9d4776038e,mo003,469,559,,pb:6e918be12c0346669e26a09f5f1608da
mo:4305f8ed7d5f4d23bf530f6583d48ab7,mo004,576,646,,pb:6e918be12c0346669e26a09f5f1608da
mo:4ba4370ded434da79ba37b53b8530095,mo005,375,445,,pb:6e918be12c0346669e26a09f5f1608da
mo:7e6f0562a1a142079978a3c82cfacb97,mo006,723,783,,pb:6e918be12c0346669e26a09f5f1608da
mo:3382c45637e14101b5133693ba878e8c,mo007,616,686,,pb:6e918be12c0346669e26a09f5f1608da
mo:42c9c039791845949f65fad1448024f5,mo008,572,632,,pb:6e918be12c0346669e26a09f5f1608da
