competencies.uid,competencies.activity,competencies.capability,competencies.cost,competencies.type,competencies.ressource_id
comp:1e930e0335cc4036bd5adb6e7d3d68de,R1,1.0,0.0,maintenance_competencies,mr:14d3d7bb12f1464c91794f5a2687448b
comp:b6fbc5b7a45f46089c87b8128f5174ea,R2,1.0,0.0,maintenance_competencies,mr:c8a53eadc3b54fb1aa430892a1798be7
comp:98d6488bdd55486ebdd384d5c938c605,Comp1,1.5,0.0,production_competencies,ma:2162cf57ed0944b79a0cd2e9f412dda5
comp:6706b00b0ece4af6af4c5a61c69ba0c8,Comp2,1.0,0.0,production_competencies,ma:2162cf57ed0944b79a0cd2e9f412dda5
comp:2448c80100d443cd8ddf97ac9b0c96a2,Comp3,1.5,0.0,production_competencies,ma:7c137271f4c644afb93f0f1d62ea8e72
comp:d59c75b498de4851b9dc79fe188b3d1d,Comp1,1.0,0.0,production_competencies,ma:a7180ffd57bb4982af2092b62224ffc2
comp:ccd91bca96694a3ea4ab2acad57f57e6,Comp3,1.0,0.0,production_competencies,ma:a7180ffd57bb4982af2092b62224ffc2
comp:a351670eb6b4404d9daa157a72a3de96,R1,1.0,0.0,maintenance_competencies,mr:72172995a7e24ac0a8a1cff36c156a08
comp:66487d84f3984b4aa7358dee92adc9e7,R2,1.0,0.0,maintenance_competencies,mr:d96af47df92c4ef796cdc49957b89ba3
comp:3c24c80d1a0347c8a647f15f94287db5,Comp1,1.5,0.0,production_competencies,ma:80bc6281528945b29f472e7d5e9f6f98
comp:85a801502e2a4ddd8d407962afc43b4b,Comp2,1.0,0.0,production_competencies,ma:80bc6281528945b29f472e7d5e9f6f98
comp:1ccf58a571d24b6890b95f653af6084d,Comp3,1.5,0.0,production_competencies,ma:72b95339224d45adbc554e5a0d27e80b
comp:18fd6f340927404699611f5952dc24ee,Comp1,1.0,0.0,production_competencies,ma:30fa81713c584edcb0279f05e9b9b9da
comp:9a1ecdf6843f47bbb550b0517052233d,Comp3,1.0,0.0,production_competencies,ma:30fa81713c584edcb0279f05e9b9b9da
comp:da16e777f8cc490a82cbb19e29c0a84d,Comp1,1.5,0.0,production_competencies,ma:167cfcb321d14165b62d3c090e836776
comp:30e2ee7d531241d59d087ffa6cdb07e1,Comp2,1.0,0.0,production_competencies,ma:167cfcb321d14165b62d3c090e836776
comp:76a9dd54c38742f0bfad79f48f66c742,Comp3,1.5,0.0,production_competencies,ma:710555edbf5d4c26aa4572a995560dde
comp:d4048bb58d78488b95ef2eb564621442,Comp1,1.0,0.0,production_competencies,ma:376a2ebf0a8348fb8a4dd2498f5f6766
comp:f1e20512982f47698f6126eae3519b53,Comp3,1.0,0.0,production_competencies,ma:376a2ebf0a8348fb8a4dd2498f5f6766
comp:d6b2c54e91bb4b368d85ad65302225a0,R1,1.0,0.0,maintenance_competencies,mr:18f89ace47874b7a8b2c1633070ae783
comp:1118fa5b6acd451aabdbb45307795e9f,R2,1.0,0.0,maintenance_competencies,mr:0bd0d6b0f332468fb8716411cefd3f66
comp:f09e809a570e41dd8a65454a3c53a76f,R1,1.0,0.0,maintenance_competencies,mr:c1da7139bb4d434baeea4089787b3476
comp:1576bb7994af451db96f407e853dfab8,R2,1.0,0.0,maintenance_competencies,mr:201726223335420294e8fc026a9e2cfe
comp:12c2c851a1de47df8b0fe1283c0fc774,Comp1,1.5,0.0,production_competencies,ma:bd443706cece468ab0b0417478669f25
comp:30fe38aa636145debceaa27ad7e1a4be,Comp2,1.0,0.0,production_competencies,ma:bd443706cece468ab0b0417478669f25
comp:10d93f9b6a204e98862c0b2c2d96dc8e,Comp3,1.5,0.0,production_competencies,ma:be5dc23a42754e7bb3bac3b2e1ad0594
comp:e7c23bf8c4c84064acc29b61b9f5cc3d,Comp1,1.0,0.0,production_competencies,ma:6603b4d2f4e747a1b47cb39fed7b8d73
comp:6d4de31a269b4448a1770d4fca440c10,Comp3,1.0,0.0,production_competencies,ma:6603b4d2f4e747a1b47cb39fed7b8d73
comp:ab5ffdc5e4af49b7900f1c264090cb39,R1,1.0,0.0,maintenance_competencies,mr:55b032150678481880468da681c25084
comp:99f9820332f24f0c869dbdac1197167b,R2,1.0,0.0,maintenance_competencies,mr:a2f0fd8a014547c2a8d9e345618a7a07
comp:e98b4924981d47ef81c20a24f56f43bd,Comp1,1.5,0.0,production_competencies,ma:a62cfadc622447598c9fde014e804162
comp:0396968aab13430b8cd1b9d18e2ca98b,Comp2,1.0,0.0,production_competencies,ma:a62cfadc622447598c9fde014e804162
comp:1fb17305564d440bac975adab88741a4,Comp3,1.5,0.0,production_competencies,ma:488fa053c68644a69492392f4a51e90c
comp:f3846509e93447c5af0af86407d55b88,Comp1,1.0,0.0,production_competencies,ma:4bf9b909050049c6866347f2ede3d342
comp:721c9ad1330f42f69e2f3524d8906be6,Comp3,1.0,0.0,production_competencies,ma:4bf9b909050049c6866347f2ede3d342
comp:2543fa7c1d0d4017976b5a3fa2b21dfa,R1,1.0,0.0,maintenance_competencies,mr:e2e52910282941999194889cee5c592c
comp:e8899d2ac4c047b4a10332e6b95c9805,R2,1.0,0.0,maintenance_competencies,mr:8b9855c3d2eb40a5becdfd96abd64379
comp:fec323e0c27f44d4930d46748a649118,Comp1,1.5,0.0,production_competencies,ma:840898b2a7c44ce686990ffe164d31c7
comp:46702e0321924b6b8dad624d6436c991,Comp2,1.0,0.0,production_competencies,ma:840898b2a7c44ce686990ffe164d31c7
comp:b6ac4e1d896e42a5b621acb901795e02,Comp3,1.5,0.0,production_competencies,ma:99a5bbb6898e4f70a94df0a13d0da424
comp:cbc154b7865b4f5fafbcd7b83f2a7b96,Comp1,1.0,0.0,production_competencies,ma:d0e93eb43dad4c29b6168a428d673af6
comp:437a562bec8f49f1bcb8f93b46521d60,Comp3,1.0,0.0,production_competencies,ma:d0e93eb43dad4c29b6168a428d673af6
comp:418890f96bb04dda9b5ad3a19caa729b,R1,1.0,0.0,maintenance_competencies,mr:1f77d25cbb31418b898757636d5f6a6c
comp:bc909b66c25a442fb3e9b9223924e347,R2,1.0,0.0,maintenance_competencies,mr:69e6722075454d5396c627cfa839a715
comp:75ef4494b298404f90e351d7fe5b58cc,Comp1,1.5,0.0,production_competencies,ma:8ebef12ec93a4b4ebaa6bedbe948be7e
comp:1c0167ebcda448a592fe1259a920be0c,Comp2,1.0,0.0,production_competencies,ma:8ebef12ec93a4b4ebaa6bedbe948be7e
comp:ab4eeeb2eb6745ceaf43f50ebecd34de,Comp3,1.5,0.0,production_competencies,ma:4746aaf0ae5a467ab22e5cfdd94cc875
comp:8afbe03edc12430f98e195197488c341,Comp1,1.0,0.0,production_competencies,ma:5fc7ab16a3be4e959c01bdf2de829cfb
comp:0b6e7e1ce96f4fecbf7308f350598b02,Comp3,1.0,0.0,production_competencies,ma:5fc7ab16a3be4e959c01bdf2de829cfb
comp:b84e434da68e496f8a1a79a7bd37fec8,R1,1.0,0.0,maintenance_competencies,mr:1cc4fd8c1d9f4b379ba85c651a1ccc29
comp:9a891beaab8643c3a53ddf79c482969e,R2,1.0,0.0,maintenance_competencies,mr:a6bbb93f9ec24d7898777f5e287d8b38
comp:6374744aa20b4b4a990da1fba901207f,Comp1,1.5,0.0,production_competencies,ma:1dc3dd9c7af24e4d8364f2cf0d14cffb
comp:25516d57b278442daae98c7c7fc5618c,Comp2,1.0,0.0,production_competencies,ma:1dc3dd9c7af24e4d8364f2cf0d14cffb
comp:00343f06c5a5429bafa9ce2ec26f3e58,Comp3,1.5,0.0,production_competencies,ma:834e751bbfeb4c4ba1b5399942b63fd6
comp:943b1b3a48604c50bab7e91cbba750f9,Comp1,1.0,0.0,production_competencies,ma:50e4a6c29fbe42cd99cf31a5373e2846
comp:ee23a4e0beb745df9d924ca1010910d2,Comp3,1.0,0.0,production_competencies,ma:50e4a6c29fbe42cd99cf31a5373e2846
comp:a66499d822074339a4e0fe7ffb1960e6,R1,1.0,0.0,maintenance_competencies,mr:c1ce288361944144869e71d04c8fc4b7
comp:43b3cab349e04468874c7ee095f377de,R2,1.0,0.0,maintenance_competencies,mr:3398e16744f04c2b8f2d2197c38bd3c7
comp:8d53ea28496f42239b52a0c72cb12ff5,Comp1,1.5,0.0,production_competencies,ma:62e319c541e24586bdc4760232212ab6
comp:9b0f7f3fcbbb4d4389ea82b8ed1b7295,Comp2,1.0,0.0,production_competencies,ma:62e319c541e24586bdc4760232212ab6
comp:3b1e6b62c3524e7bb3057b2ebebeeed4,Comp3,1.5,0.0,production_competencies,ma:f4725cf9356d4521ba2adbc8f0a303b7
comp:2a8a79fc4bbe45d7ac27380dd46bb176,Comp1,1.0,0.0,production_competencies,ma:84c62e8f53ab481d89cd1501deec4ac3
comp:0bd1e6a73eae4314b806a1c997d87130,Comp3,1.0,0.0,production_competencies,ma:84c62e8f53ab481d89cd1501deec4ac3
comp:f77a35f73325438fa17a369a2d0290fa,R1,1.0,0.0,maintenance_competencies,mr:af82ecf80b164a218ba6efe82d663b95
comp:921113032b244092b695288eca5202cd,R2,1.0,0.0,maintenance_competencies,mr:5fd8e40ea0c245139d706b09fc740117
comp:d52079008dd6425eb58689271a145a5a,Comp1,1.5,0.0,production_competencies,ma:c48d4876bf6a40adb179c33ec91c6176
comp:8c8c8e0299ee4f61a7817945473fea2c,Comp2,1.0,0.0,production_competencies,ma:c48d4876bf6a40adb179c33ec91c6176
comp:a8a8f22ac6054b69bba87569821c2965,Comp3,1.5,0.0,production_competencies,ma:559384f8346b4d198f7cc5e53d57285a
comp:c99a3dc3635e4ffab61b1b7547bebebf,Comp1,1.0,0.0,production_competencies,ma:16420debfc2d44cc99f787bf1e5f76c5
comp:b06a35f5bb9645b798caec3fc24e4283,Comp3,1.0,0.0,production_competencies,ma:16420debfc2d44cc99f787bf1e5f76c5
comp:bb6f8f1654984c5786badf2e4604bb6b,R1,1.0,0.0,maintenance_competencies,mr:8e57b37352af43f1911813e6486e4bff
comp:d28a203f8ca14002a7e7909e3e7f4e08,R2,1.0,0.0,maintenance_competencies,mr:23c43e9cbb804fa1be4442b213160711
comp:0712e15164f34a04ade371c0bde028d3,Comp1,1.5,0.0,production_competencies,ma:7e88a266d41749d8bd6ef91cbcc1b150
comp:c8f8ba428d644bffb37c4a717f480d81,Comp2,1.0,0.0,production_competencies,ma:7e88a266d41749d8bd6ef91cbcc1b150
comp:3268d6e2f3dd40379179f75ffe7517ec,Comp3,1.5,0.0,production_competencies,ma:8328c6074c1b42d8b236159ffdf654d9
comp:40a03c92e6884165a77c2b5bf9876ee5,Comp1,1.0,0.0,production_competencies,ma:68e89c48a9bf4930a1e110cffccfc711
comp:f9469daae0a54bcfb916ad9688b49e2d,Comp3,1.0,0.0,production_competencies,ma:68e89c48a9bf4930a1e110cffccfc711
comp:f3dffcca30f04cd58568cd5abfd0edee,R1,1.0,0.0,maintenance_competencies,mr:97df8a4cb240463c83da69dfc849821c
comp:ea9a3a8edea84b08b3b7bac7bbdac774,R2,1.0,0.0,maintenance_competencies,mr:30c5c3d5c2ef48d2afdfc7b27e99129d
comp:f46075acac60415ab9036a25a187546f,Comp1,1.5,0.0,production_competencies,ma:ca449dbaf1aa4f918d3e72ab1ca61f2b
comp:7f9fb306919c4d178b7545d338277a2e,Comp2,1.0,0.0,production_competencies,ma:ca449dbaf1aa4f918d3e72ab1ca61f2b
comp:3401334906af48979d99574857d0571e,Comp3,1.5,0.0,production_competencies,ma:506b444a273d4a2d8fc00a6beafd7cbd
comp:266386e55a5644e1ac56d07f8408e814,Comp1,1.0,0.0,production_competencies,ma:1630d586f3d749abb648d9a408e50172
comp:9c0907c580434dfe88a2fb70bfeb5b99,Comp3,1.0,0.0,production_competencies,ma:1630d586f3d749abb648d9a408e50172
comp:9fd7d1c038b54157b4e182a9086d557a,R1,1.0,0.0,maintenance_competencies,mr:69b888943b4947a7a39592ffbd1d832f
comp:e3be09d020ad4e05a0d7429e28340d44,R2,1.0,0.0,maintenance_competencies,mr:81d7d3349cb54b81a69de87050b04515
comp:c8c7a9f366e1420bac5b0a558c26a094,Comp1,1.5,0.0,production_competencies,ma:b26a3bfee7f94a379b9056049639799e
comp:136edd9226944ae48375e6e4c3ad34f5,Comp2,1.0,0.0,production_competencies,ma:b26a3bfee7f94a379b9056049639799e
comp:f0942200e928473999f8c1c724c2455a,Comp3,1.5,0.0,production_competencies,ma:0ca1271fbbe145249b83591f8a6b03ca
comp:dc52581b180c426d92d66f7a5c569bb8,Comp1,1.0,0.0,production_competencies,ma:0fe764cb83434ddfb207f480d060f6cb
comp:e6d13c3e8eb84c29b70e01836f897023,Comp3,1.0,0.0,production_competencies,ma:0fe764cb83434ddfb207f480d060f6cb
comp:dd22572e26ac4c6cbb991569aed049a1,Comp1,1.5,0.0,production_competencies,ma:092e874988cb455bb92e5a68f2648663
comp:49c8837dfb5c42ac99e8fa72c8f62415,Comp2,1.0,0.0,production_competencies,ma:092e874988cb455bb92e5a68f2648663
comp:b4348849b5b64480972e073fbdca87ef,Comp3,1.5,0.0,production_competencies,ma:4b04c602cce04b7591271492e7b5525b
comp:4acf90aab4e541a78974f487595e4e83,Comp1,1.0,0.0,production_competencies,ma:923b0f68798344549ec938964081839b
comp:06f3e84a92f04ba49ce9ffd126454ca6,Comp3,1.0,0.0,production_competencies,ma:923b0f68798344549ec938964081839b
comp:16199ba67aed4158ba4c10a799228f69,R1,1.0,0.0,maintenance_competencies,mr:b6531859ff704bee807e5ba419696d2e
comp:c91cdbaef31d44adb722497bc5b33bc4,R2,1.0,0.0,maintenance_competencies,mr:22ec6f5dd53a46d1a42df586d878edb1
comp:8ff5537ccbca4688ab60cedf9f8e4a3e,R1,1.0,0.0,maintenance_competencies,mr:e282d41f16b3489c8022ca0dcf1cbe66
comp:0d62eaafb6ff449e968cdf97ff405078,R2,1.0,0.0,maintenance_competencies,mr:52c484c90ff64c2da251e1946248353e
comp:5a468dffe7594c1c8d63f3af84c0dff5,Comp1,1.5,0.0,production_competencies,ma:3cd572a6b42a4e32b625f57c9ff482c5
comp:bfebaa58978d4766aff4143de21de787,Comp2,1.0,0.0,production_competencies,ma:3cd572a6b42a4e32b625f57c9ff482c5
comp:d855e2f83ca8442591c32cf3005325f9,Comp3,1.5,0.0,production_competencies,ma:519d4117bc994e5e8d408ac306f84dab
comp:5cd76c545cd8439e87af3e75f1e909f5,Comp1,1.0,0.0,production_competencies,ma:147c4947a54049b689b13be2622727a4
comp:fc30483e96c344428383c0ef1bb8b358,Comp3,1.0,0.0,production_competencies,ma:147c4947a54049b689b13be2622727a4
comp:0f3bd9ad6ffa4437bbdfa44383cd3094,R1,1.0,0.0,maintenance_competencies,mr:25e8bf00d35f42328aa323a446d328e9
comp:8ef24e21064441c7bfe4f4ba4381a148,R2,1.0,0.0,maintenance_competencies,mr:4d45c670599f430fb3320b83c283f830
comp:a865e1c1bdf14fec87a36efd38199ae8,Comp1,1.5,0.0,production_competencies,ma:5837dce60fa642cfb879a127166e3630
comp:85ba8bb63ecd4681bec5fc568baa5264,Comp2,1.0,0.0,production_competencies,ma:5837dce60fa642cfb879a127166e3630
comp:c3025680ebdb4a46b6195199a21b3f86,Comp3,1.5,0.0,production_competencies,ma:a81512d78e4d44e58823c514d43454fd
comp:77b4e1a1374a4e5c9379493dccbf6331,Comp1,1.0,0.0,production_competencies,ma:9f9b0754da024f1b961b13f71e06940c
comp:f8e69b3180c04967899db1c21806e5e1,Comp3,1.0,0.0,production_competencies,ma:9f9b0754da024f1b961b13f71e06940c
comp:f2b10a789bde4a1485bee35fbf6afcdd,R1,1.0,0.0,maintenance_competencies,mr:86188edf114645d2af538ba4134df895
comp:22fe62659a13486bbe507ddb8cddf5c8,R2,1.0,0.0,maintenance_competencies,mr:8a76d9b24514436bb224d691b499e00c
comp:d73471c3a57a43e4a9247cd36280e119,Comp1,1.5,0.0,production_competencies,ma:fec4b680c4344f059b0bad59dce8d673
comp:91fc88bc184544bd82cc25ef3ff19431,Comp2,1.0,0.0,production_competencies,ma:fec4b680c4344f059b0bad59dce8d673
comp:c03d3f4252214763a10a996fba100c45,Comp3,1.5,0.0,production_competencies,ma:a62b9860f5824622a658d0782b629bab
comp:c38104d91fc7402889d5a739ba2ec9aa,Comp1,1.0,0.0,production_competencies,ma:8e0b897b20764042a46c1a46e309d6d3
comp:5dc3ea196fb640fb879e79c346c58605,Comp3,1.0,0.0,production_competencies,ma:8e0b897b20764042a46c1a46e309d6d3
comp:17d56633d25245a9ab34326b0f9b4811,Comp1,1.5,0.0,production_competencies,ma:f59800b0cc08414e85e7eddb4cdb20a8
comp:5817085486da4846ac3d3cc731f5050b,Comp2,1.0,0.0,production_competencies,ma:f59800b0cc08414e85e7eddb4cdb20a8
comp:75cdeef218cb4826b668c1c441626e67,Comp3,1.5,0.0,production_competencies,ma:2f1564ba3e5241d6bb670191f6289827
comp:ca340d7dcee14448bf61d159b7374a25,Comp1,1.0,0.0,production_competencies,ma:552ae025444e4d77825187c49b9838e4
comp:23ac837d4ea14be89c73d2cba93edb17,Comp3,1.0,0.0,production_competencies,ma:552ae025444e4d77825187c49b9838e4
comp:80877fbfc24746308e63a51e75327f96,R1,1.0,0.0,maintenance_competencies,mr:502c1eb30adb4f2e8f7950f9f6019dfc
comp:9f4d7ee639584f6a8f00cc9bc5e9939e,R2,1.0,0.0,maintenance_competencies,mr:6b95fcab188e4b14b60992846c039e11
comp:95a74312c47849518d41d032432f567a,R1,1.0,0.0,maintenance_competencies,mr:fc6b14d31e6e4529bb119f553ca5575a
comp:b56de97febdd4fcbaea30e1ee9d5167d,R2,1.0,0.0,maintenance_competencies,mr:b10b5088ef9a44ec8c9898151f4c4af9
comp:bf7cc3cda8a8410c8a0b9f6f6e39bb01,Comp1,1.5,0.0,production_competencies,ma:ac187690cf0744d7b83e8fb2257396dd
comp:c324fd248df04af5a8dddc746c916f01,Comp2,1.0,0.0,production_competencies,ma:ac187690cf0744d7b83e8fb2257396dd
comp:1a6a91bc207244c88b0802802356b3fc,Comp3,1.5,0.0,production_competencies,ma:0e7d627742be42c087c139a94bd8cbcd
comp:6907d82317d04a05984c563a40c54fcb,Comp1,1.0,0.0,production_competencies,ma:056ded0b0f2940b7aa81144713cbd4cb
comp:52e0c9992ea04aecac74ea99fada52ea,Comp3,1.0,0.0,production_competencies,ma:056ded0b0f2940b7aa81144713cbd4cb
comp:5689e7498b9249d3bcd769467408d11d,Comp1,1.5,0.0,production_competencies,ma:fd14aa1481a64b8b88bfa5387a0f3333
comp:044b18cad72842d4b32ffd81696d8041,Comp2,1.0,0.0,production_competencies,ma:fd14aa1481a64b8b88bfa5387a0f3333
comp:6cfeb60df79842aca5a4728bffe11ab3,Comp3,1.5,0.0,production_competencies,ma:7350cc77ebb54539ba3ca12ef288dbbf
comp:71f9f3d0df5240709d390e229faacb4b,Comp1,1.0,0.0,production_competencies,ma:a2359825af6c489da624b9d263fa0813
comp:96919a612e8648a893dd3961f3bef517,Comp3,1.0,0.0,production_competencies,ma:a2359825af6c489da624b9d263fa0813
comp:3f79161f74474da5ba236ebff0398551,R1,1.0,0.0,maintenance_competencies,mr:a0400844db244c8cb845e960dde63140
comp:9b9bc8495d8d4aeba13838ed11f63904,R2,1.0,0.0,maintenance_competencies,mr:1eed2a9e0a84432e818bc12fc71a5931
comp:97e790ba09364e1a9b6ba3e8de003a46,Comp1,1.5,0.0,production_competencies,ma:95e59c1010c44e94932de7aff2ff891a
comp:41bcc8015a3840e19afe6d6361279490,Comp2,1.0,0.0,production_competencies,ma:95e59c1010c44e94932de7aff2ff891a
comp:57005291fb5d4ea6a20e89ef04c20dc0,Comp3,1.5,0.0,production_competencies,ma:76a16d8495904d6f9d898824bc0023c6
comp:a86cda4fc3944753a4885937112730ab,Comp1,1.0,0.0,production_competencies,ma:a54dc7a8ddf84fff8f8d83349aab1309
comp:5b70a3c2dc034201b9fdf759bec8c01e,Comp3,1.0,0.0,production_competencies,ma:a54dc7a8ddf84fff8f8d83349aab1309
comp:19bac0f30a0f41bf8e1b3f3f673ed48c,R1,1.0,0.0,maintenance_competencies,mr:d10f8c2f37a14ce39c1fee35470ea299
comp:c91400f57eed4307a5a6b48b1c2cbdc3,R2,1.0,0.0,maintenance_competencies,mr:636c63313df249e7b5142932afc2c8ed
comp:e0bcfadae9714b0ab2007d9138e8086d,Comp1,1.5,0.0,production_competencies,ma:0aa8f6f9342d45a79265e9a96d0c5c42
comp:01c3d872621b426981f8b2b13b6da33f,Comp2,1.0,0.0,production_competencies,ma:0aa8f6f9342d45a79265e9a96d0c5c42
comp:53e56467573c4c6fb59cfd494bd1a4bb,Comp3,1.5,0.0,production_competencies,ma:98c0fef2d417411aab896e3c252514be
comp:539209e8805847689eccf79ef846ed44,Comp1,1.0,0.0,production_competencies,ma:53f12963754748b0bcf99f6299ff71cc
comp:00bf44163aaa4425a884196292b14897,Comp3,1.0,0.0,production_competencies,ma:53f12963754748b0bcf99f6299ff71cc
comp:bf8fb4c8c2b04de58e8f2538b218ccb9,R1,1.0,0.0,maintenance_competencies,mr:ad983a45318048fc86cf58541e9be7de
comp:309e086990b2490eaa7932b67f60f521,R2,1.0,0.0,maintenance_competencies,mr:b762bf0dd00e402e8c172b061dbd7a09
comp:8a46a482327c4eb3856dbce21995a1a2,R1,1.0,0.0,maintenance_competencies,mr:868f110004774fecac374b116fc53c86
comp:f9337854a06c46bebcc2339a92fbad52,R2,1.0,0.0,maintenance_competencies,mr:4236fbb2355e4ecda88a89bb9785ad1f
comp:83e9e71805d846ed9d90ad9f5bba5a20,Comp1,1.5,0.0,production_competencies,ma:db4270fa5196456d8267b8b5d9da39e3
comp:8e1b6b884ebd40a09cc2fd0e786776f2,Comp2,1.0,0.0,production_competencies,ma:db4270fa5196456d8267b8b5d9da39e3
comp:12a9bd3950bb430fae0e75f1971449a8,Comp3,1.5,0.0,production_competencies,ma:2d85aa2b0882422c8f196c24e0e11de6
comp:8a14b6accfe847839e4d89726de9346f,Comp1,1.0,0.0,production_competencies,ma:b66b0ffbf3684d06b9c46050b3bbacca
comp:ed24e66bda484bf6957805c6e76520b0,Comp3,1.0,0.0,production_competencies,ma:b66b0ffbf3684d06b9c46050b3bbacca
comp:ac5ec0bdc3a84200b503efef7b5cc58e,R1,1.0,0.0,maintenance_competencies,mr:b24a62aa17de458aabfec41375382966
comp:438d6df0d2ba4c3ca7a0989c29fd9f0c,R2,1.0,0.0,maintenance_competencies,mr:db04befaaf5d4aad8c1078e0062338fd
comp:7ffdf93cb00f4299852b8dda793705cb,Comp1,1.5,0.0,production_competencies,ma:2e7f1619bdea4ab5a1f98992216050d5
comp:027d1ba1f39541168eea2a51a65ffe7a,Comp2,1.0,0.0,production_competencies,ma:2e7f1619bdea4ab5a1f98992216050d5
comp:7c77a033e50f43359a46cea7c0af88fa,Comp3,1.5,0.0,production_competencies,ma:8f5682441d474044b675fe5b5c071598
comp:675792639c6f4de09e529927177ce6b5,Comp1,1.0,0.0,production_competencies,ma:6e53e344e0c940508b8293982691bb4c
comp:800c2833943f4964a55a981aed006f53,Comp3,1.0,0.0,production_competencies,ma:6e53e344e0c940508b8293982691bb4c
comp:eab8437ae5a2432dafdeaf6e2623c5b5,R1,1.0,0.0,maintenance_competencies,mr:7fd274ff7a354b048f72c466e2f64c70
comp:dff12e02416c4e809665effcaaf44240,R2,1.0,0.0,maintenance_competencies,mr:43357502f4804f54adcb420346a1868c
comp:06249ea387ae4994af028788e052a27e,Comp1,1.5,0.0,production_competencies,ma:c6cc4d36eada46c9a2a2f05e1ccb8c4d
comp:09dda416189b40749a78b7d2e8a0f1ed,Comp2,1.0,0.0,production_competencies,ma:c6cc4d36eada46c9a2a2f05e1ccb8c4d
comp:39f52d882d4a42d1ae7f7be04556ad2a,Comp3,1.5,0.0,production_competencies,ma:502917f8988945148dc6e8c7719b6979
comp:751d074fb7b649d7a7f9f1f82caa3551,Comp1,1.0,0.0,production_competencies,ma:9aaf0e60e7764ba282aef98a0178bb60
comp:b97db42146e842598c00cbbc3099ae6a,Comp3,1.0,0.0,production_competencies,ma:9aaf0e60e7764ba282aef98a0178bb60
