maintenance_tasks.uid,maintenance_tasks.need_date,maintenance_tasks.device_id
tm:8eb53f6b27e848a78bd6c3e06de1470e,542.5,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:0ae1132ed38a4649b13771e738c0c71d,551.0,dev:6d39f2500e464d178db757c01ac8b0b9
tm:b0c6245de8a048fa8bc732932203c61a,630.5,dev:99b24802323d481a8a24a8face6f4843
tm:e0db537781da4e8d835a9c173e790ffd,643.5,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:786edb5577054fc5b61576b03d44f5c4,666.0,dev:6d39f2500e464d178db757c01ac8b0b9
tm:95fff7289247429392a018f7f4942049,726.5,dev:99b24802323d481a8a24a8face6f4843
tm:93cbcefce2104a22a432eeb41cf19a0a,731.5,dev:d002253be69942a891d20dc031cc93ba
tm:0247dc1167e345608e187526be81207b,743.0,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:c3c79215b14c4745b2234dc4fc9dd86e,781.0,dev:6d39f2500e464d178db757c01ac8b0b9
tm:769b749d2fee42448bfdc5cf60e224bf,827.5,dev:99b24802323d481a8a24a8face6f4843
tm:586f3b89d7194bb995feed887fb8c565,897.0,dev:6d39f2500e464d178db757c01ac8b0b9
tm:58bb404b3f5b457aa07a88b7eee08fb8,926.5,dev:99b24802323d481a8a24a8face6f4843
tm:ccb710a8bafc4b88a93172d01ff95269,1025.5,dev:99b24802323d481a8a24a8face6f4843
tm:6a239bb334664b5aab5144bcaa36a9e6,772.0,dev:99b24802323d481a8a24a8face6f4843
tm:13ae6f866cd6450aa5f2711ced1c587f,674.0,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:65bf149a0c5044c38ba583ee02ff4987,741.0,dev:6d39f2500e464d178db757c01ac8b0b9
tm:66bce9711f3947d5bfd3da7673d2b8cd,871.5,dev:99b24802323d481a8a24a8face6f4843
tm:5ee4c9a1d09f4bf1ace398c92658fb0f,876.5,dev:d002253be69942a891d20dc031cc93ba
tm:9c44bcfeb7c44579a863cd3fac43338c,904.0,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:635f6a5d15d74614b29a2f5f86b500eb,956.5,dev:6d39f2500e464d178db757c01ac8b0b9
tm:c5dc504faeb5471bbd6ae1a64a8a5f26,1037.5,dev:99b24802323d481a8a24a8face6f4843
tm:3e4e9580b6124e4cb72366fa73c3953a,933.5,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:4fc0999f4d3e4500beb28efefce6a736,446.0,dev:3a3723ede126482ba6d6b2898f219aa7
tm:40cb463680f645af98998e882a4be615,557.5,dev:f615d819fb51414abf072597158bc83b
tm:275a4086cb9e4c138d64b3f3c31dceca,562.5,dev:8ba203e696974d28a086402d7ab80f73
tm:91c90e2d19684a24aa2ca16401689c97,506.0,dev:4e4d378f567d410487d697241734c3c7
tm:7e30946a3c1a4f498370df57d7f6fbb5,530.5,dev:3a3723ede126482ba6d6b2898f219aa7
tm:0b5ae56e417d4d7c84121cd9891f6e36,671.0,dev:8ba203e696974d28a086402d7ab80f73
tm:b124f4d635c04796945f169eb78dfe8a,606.0,dev:4e4d378f567d410487d697241734c3c7
tm:354fb47408f342a18c021eac0030b323,616.5,dev:3a3723ede126482ba6d6b2898f219aa7
tm:b3ea6d36b9924443bb1eb742f4f17b51,702.0,dev:4e4d378f567d410487d697241734c3c7
tm:1ab5c3d6889e4d64a15fe51426cb8dd4,702.5,dev:3a3723ede126482ba6d6b2898f219aa7
tm:57d2c7a72ad4465b94c545700235f343,803.0,dev:4e4d378f567d410487d697241734c3c7
tm:9b88eec163484311b374b48f68282b7f,789.0,dev:3a3723ede126482ba6d6b2898f219aa7
tm:1fb72936aae647e48e54f247fae91ad8,905.0,dev:4e4d378f567d410487d697241734c3c7
tm:317bc882fd4e491daae1f942bc11d6f2,874.0,dev:3a3723ede126482ba6d6b2898f219aa7
tm:3c4f23fc40eb400c84952bdd861bdfc7,961.0,dev:3a3723ede126482ba6d6b2898f219aa7
tm:12c4458c5df14bc3a870649d880c1c45,1047.0,dev:3a3723ede126482ba6d6b2898f219aa7
tm:00ec5f3fd21a448283f000d26c3fe031,864.5,dev:3a3723ede126482ba6d6b2898f219aa7
tm:8bae6d3dbfe949f6988ba0623356c1f1,775.5,dev:f615d819fb51414abf072597158bc83b
tm:c20ca82e85274fd5b76302153f317b35,780.5,dev:8ba203e696974d28a086402d7ab80f73
tm:491b854db4ff4d588b1fd4889090c80e,769.5,dev:4e4d378f567d410487d697241734c3c7
tm:b6c0b16d697d470f9ca74e66360bd53a,509.5,dev:021a01a8f16142a1bbac70295783e279
tm:bf8e42fb802a4124a46abb887a10f8b7,514.5,dev:84c65f0d15ca40018ff0d9f8000db406
tm:c1be5f6858c24a8a898b7f88ac348c2c,526.0,dev:a622d6d0e637403ebe04d60b6914ee2a
tm:83f0d884f9d3448187d5839cfc5c12eb,507.0,dev:d1e97fd18b904b2491a214f1a4c60483
tm:8f9ea7b376c44a95888aac97b2732f96,611.5,dev:021a01a8f16142a1bbac70295783e279
tm:07c9cd0a3ba64eb6ad87989b297072c1,616.5,dev:84c65f0d15ca40018ff0d9f8000db406
tm:c7ef38dce7fd4f7bac9ab5cd3f4dd521,622.5,dev:a622d6d0e637403ebe04d60b6914ee2a
tm:e423b0d8bcad4e9fb9ca864c9eb5d758,601.0,dev:d1e97fd18b904b2491a214f1a4c60483
tm:c2e0ab11442c4616a2912e7b0a6a9fe7,716.0,dev:021a01a8f16142a1bbac70295783e279
tm:bb2aa06d72c04ed2b6a1749a24815de5,721.0,dev:84c65f0d15ca40018ff0d9f8000db406
tm:203610883e6248aea6d12aa28a4b46a4,725.0,dev:a622d6d0e637403ebe04d60b6914ee2a
tm:a64d720fbbe64151843b0f81ada7c882,730.0,dev:f013821889c046c2ad179d69793afe91
tm:9fedb13618a14f53be21f96e3ef5519c,692.0,dev:d1e97fd18b904b2491a214f1a4c60483
tm:70b78a0a70d04a369c50cb3182ad139d,821.5,dev:021a01a8f16142a1bbac70295783e279
tm:ecbd1103ba134d0b8ef8247a019030ab,826.5,dev:84c65f0d15ca40018ff0d9f8000db406
tm:06f8a9d0262445cdb83aceb690ec8b27,782.0,dev:d1e97fd18b904b2491a214f1a4c60483
tm:b1afe3ec4a7046578667f25f518acca2,926.5,dev:021a01a8f16142a1bbac70295783e279
tm:b01c5f11a0e74120b613979a2d13b042,931.5,dev:84c65f0d15ca40018ff0d9f8000db406
tm:c4c381774a824da88ff9c486f98644e3,877.0,dev:d1e97fd18b904b2491a214f1a4c60483
tm:32bd095e2abe4dcda4a632545a7d0625,931.0,dev:021a01a8f16142a1bbac70295783e279
tm:c70d7f91628f4f7abdf836764db439ca,936.0,dev:84c65f0d15ca40018ff0d9f8000db406
tm:87295bb6a22e4df290ef8872892aa024,921.0,dev:a622d6d0e637403ebe04d60b6914ee2a
tm:3c92b2ce8de44e57ab5e89ec16847bf1,926.0,dev:f013821889c046c2ad179d69793afe91
tm:a2d3ec292c4144b997ffb99a7a836a9a,859.5,dev:d1e97fd18b904b2491a214f1a4c60483
tm:7d82d48789784a148758701d3c1c4c3e,580.5,dev:09726e9da7624d3b965d49354ac7e211
tm:44db30f3ca874a85bd8aaad181df3369,585.5,dev:da3906f13fe24996a59811ebee9ee930
tm:c08218a683c2440082deb1f061369643,606.0,dev:e72e61005f7547e1aa96aa2839cbf6b4
tm:8ae855c68a084ab393cd2bd5b0bd3ed4,588.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:722e87d5aabd4b749b67ca827f62141b,692.0,dev:09726e9da7624d3b965d49354ac7e211
tm:18ced6d2446b43e397faf02c7067f458,697.0,dev:da3906f13fe24996a59811ebee9ee930
tm:7b0935eb510940e8b08e8974d7d66659,705.5,dev:e72e61005f7547e1aa96aa2839cbf6b4
tm:a62ba291d6d847c99a3d110b14a7af78,685.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:73a2ea87184d48eb9f165ff92e5ea549,806.5,dev:09726e9da7624d3b965d49354ac7e211
tm:57e8c30193f34883a0fabfcfb1948632,811.5,dev:da3906f13fe24996a59811ebee9ee930
tm:750b9d41de244d89bb75e91bd6c726cb,805.0,dev:e72e61005f7547e1aa96aa2839cbf6b4
tm:56ce43559e9c4dd0b7958fc00d404dd5,781.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:8fd109a1a1364cf18a9695168c9c910a,916.0,dev:09726e9da7624d3b965d49354ac7e211
tm:5a0821b676c04333a8b42d21cd7b6064,921.0,dev:da3906f13fe24996a59811ebee9ee930
tm:e642b99ed9e2436abbc64eefba86c107,876.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:fc03d091396a424cab1e8ccaead2c1ca,1025.5,dev:09726e9da7624d3b965d49354ac7e211
tm:1036fd996cd548ca9d379600365aed24,973.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:3b1dc40ec966462b933fb0190d18ad7f,911.0,dev:09726e9da7624d3b965d49354ac7e211
tm:14a6a3fac4ba47329167b25629b6a642,916.0,dev:da3906f13fe24996a59811ebee9ee930
tm:729e86160445439bb2fc70b60d3abb5e,713.0,dev:e72e61005f7547e1aa96aa2839cbf6b4
tm:432e1a1e4ab1457ab95031e1c78696e0,714.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:70b9819065a048aab56ad938db63530e,1042.5,dev:09726e9da7624d3b965d49354ac7e211
tm:215fa862ce284618b893ab9fdd1d76b0,1047.5,dev:da3906f13fe24996a59811ebee9ee930
tm:3b743fa8256142c391d0ac5792007523,1079.0,dev:e72e61005f7547e1aa96aa2839cbf6b4
tm:87a64616736e4b8d8007738d77fba7d4,1081.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:c3508fa0a08a483da53fff61293ef408,1177.0,dev:66170306dad64e86884a4d8efd85f2e7
tm:aaa04e6e9b244560be84ef75926e6294,572.0,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:d6ea079b6ab7478492a7981ed69c43d2,424.0,dev:20a40dd7f232420c831cb46be36c815c
tm:1ad76409dc024b94b1b278faa6814b5c,611.0,dev:959203f7cafc4b218841cc27d96e70be
tm:fb175d0004e843a98c91580a1b821b3c,672.0,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:918aecc847ee42278ee9642af68f5cfe,539.0,dev:20a40dd7f232420c831cb46be36c815c
tm:232939216c6449a68b8d99d94ab85601,727.0,dev:959203f7cafc4b218841cc27d96e70be
tm:1d027a67952b4babab9026f5261a1182,767.0,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:3c2773d50f9d4776a7cd629a28f75000,717.0,dev:20a40dd7f232420c831cb46be36c815c
tm:f322b046a2cf464bbe11f942682efe99,840.0,dev:959203f7cafc4b218841cc27d96e70be
tm:e73ec0808fd04206945bdb1a99742a13,864.5,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:ec2febcb17d84475adc4c6cdc5c94178,955.0,dev:959203f7cafc4b218841cc27d96e70be
tm:b37595d5739049c8a1a1929d381df889,958.0,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:a12686352a40420688a350178827eb9e,1057.5,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:f1519c8f9b1c4c73a6e3580a547df2cd,900.5,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:c96731e967724cf08f911cc06bc84d6b,716.5,dev:20a40dd7f232420c831cb46be36c815c
tm:607aa4b8a9d54fdeb484537809599431,749.5,dev:959203f7cafc4b218841cc27d96e70be
tm:f8e626d17d4e4baebe9f1a0c29fd9a5b,995.5,dev:f48672373e1442e9b87d3c06fbcf49b6
tm:5b6db42d5db34313bfa7d255744ce767,941.5,dev:20a40dd7f232420c831cb46be36c815c
tm:35bb29a2681c45cc9c790fe8a8c598ee,963.0,dev:959203f7cafc4b218841cc27d96e70be
tm:838bb48e3d90455a8109f6ea38665ab6,1044.0,dev:20a40dd7f232420c831cb46be36c815c
tm:7473599e36e5471496a65f06c95a6b55,313.5,dev:c6120391722d453495ab7780c1916e9c
tm:ebddb3fffdcc428abdd7a9c7107e636c,328.5,dev:dd0a70c3245f4456a7bbf423e313b327
tm:57546372ff8f467fb2b414bd0e5c7723,319.0,dev:0d9221fa9945438686409c97356f1a94
tm:c6da1788049d4a07a275eb365269b4cd,412.5,dev:c6120391722d453495ab7780c1916e9c
tm:8087f74a88c5465aa06e1b97e41e04c6,429.5,dev:dd0a70c3245f4456a7bbf423e313b327
tm:b22121209b954f20b07ad1b2cb9f6e3a,416.0,dev:0d9221fa9945438686409c97356f1a94
tm:ab1ec1595bad417594388188daa1cdcf,513.0,dev:c6120391722d453495ab7780c1916e9c
tm:485addf4305a4478865d970f8f7363e9,568.0,dev:dd0a70c3245f4456a7bbf423e313b327
tm:ebd514a534224de4bba63ede4f53413f,515.0,dev:0d9221fa9945438686409c97356f1a94
tm:a6630f24bc5d4bbaba5e0529ecd7f7a6,610.5,dev:c6120391722d453495ab7780c1916e9c
tm:471f176c267c4c4996163a434df07685,611.0,dev:0d9221fa9945438686409c97356f1a94
tm:a4da75cc2f434e2a9c1215d61546c35a,707.5,dev:c6120391722d453495ab7780c1916e9c
tm:461065fb977b4c6cab392e85cf34c5d9,706.0,dev:0d9221fa9945438686409c97356f1a94
tm:056813b084bd4d1185801a3f0abeeff0,802.0,dev:c6120391722d453495ab7780c1916e9c
tm:ad20b8ae002941f58faa69ae98d28f71,662.5,dev:c6120391722d453495ab7780c1916e9c
tm:6cd7031282d24b2f98e67e81052998af,572.5,dev:dd0a70c3245f4456a7bbf423e313b327
tm:c0decd3c0d5748f6bd6703bea49d3838,577.0,dev:0d9221fa9945438686409c97356f1a94
tm:6289d2d807ba45359b77ec83a1abd927,759.0,dev:c6120391722d453495ab7780c1916e9c
tm:7aa7ba44f34d464e8aa4898a70d32848,723.5,dev:dd0a70c3245f4456a7bbf423e313b327
tm:d31c61753bff424db910b93d2a577ddf,680.5,dev:0d9221fa9945438686409c97356f1a94
tm:116a2d868e3c445c90687e720009140a,474.0,dev:386938cddc204eaca37e25dc36fcc5ee
tm:317a1f903a9048c0863022c87a8b9b1a,447.0,dev:5e9d5b7022c645609515a08510d8fe1c
tm:d1998cb4e43b445f931ccbcbe2026b91,490.0,dev:60537210eb5142139fbf55b30582c004
tm:4dde1dbaeea6469ea34f2ce24750f7ec,570.0,dev:386938cddc204eaca37e25dc36fcc5ee
tm:b1f9f452effa4beb9e8144f1cbf33421,551.0,dev:5e9d5b7022c645609515a08510d8fe1c
tm:bc3e65835f0c4f85adf4fdf7c5ec7b5a,616.0,dev:60537210eb5142139fbf55b30582c004
tm:b410314c432148629cba5d20e8b537af,660.5,dev:386938cddc204eaca37e25dc36fcc5ee
tm:0e5e6dc13a2a4be2928dbfc91dd779a0,659.5,dev:5e9d5b7022c645609515a08510d8fe1c
tm:f1c6632ac7d543a08ef21bd4222a135e,745.0,dev:60537210eb5142139fbf55b30582c004
tm:5e13dd0b67fe48dbb871ac6628903545,750.0,dev:d501263712e04c25a4db53f2fa171599
tm:ac1d86bebe6747da9d3db92dd6069345,757.0,dev:386938cddc204eaca37e25dc36fcc5ee
tm:90298ce329bc4d678ac53d6e0528c81c,852.5,dev:386938cddc204eaca37e25dc36fcc5ee
tm:15a848f6fb9f465cbcba44392da1a62f,947.0,dev:386938cddc204eaca37e25dc36fcc5ee
tm:f00c8affb2b142d283c69028c04c4584,807.0,dev:386938cddc204eaca37e25dc36fcc5ee
tm:d6e4329ba21d4197bad3259948307a42,622.5,dev:5e9d5b7022c645609515a08510d8fe1c
tm:e0ce4d9ec79c4713a0700d808e67d3a8,688.5,dev:60537210eb5142139fbf55b30582c004
tm:d8e5811f6ae740fa99163808834bccef,520.0,dev:225605e54a1d4a808f8da32766701c52
tm:6b1dad058ebe4d76834a225acf1d0885,578.5,dev:c62dbc93abe24f389d717bddc88eed43
tm:10d337b37e7a4e17987ab744b8b4c889,513.0,dev:e0f255e00968435896705b917cd569f7
tm:fc7497670cfb41099d5f3f969c4ed383,607.0,dev:225605e54a1d4a808f8da32766701c52
tm:3b5d1730f74c46be9440ac702ca6823d,691.5,dev:c62dbc93abe24f389d717bddc88eed43
tm:273ae22c4c744b2eb4063aeed9dc55a4,594.0,dev:e0f255e00968435896705b917cd569f7
tm:f2f9d989b9534cacadade846dee23395,690.0,dev:225605e54a1d4a808f8da32766701c52
tm:0f9c2a130b8840b8a8385b52cbb95d82,800.0,dev:c62dbc93abe24f389d717bddc88eed43
tm:6473b9e589384269a930c495220a387f,677.0,dev:e0f255e00968435896705b917cd569f7
tm:b9c5b5db61ab4981808f26fd9811566b,773.0,dev:225605e54a1d4a808f8da32766701c52
tm:42eee2a113044df4adf73c7db4a45657,781.5,dev:e0f255e00968435896705b917cd569f7
tm:0ab5b0ea0ce84cae894a5c5042385797,856.0,dev:225605e54a1d4a808f8da32766701c52
tm:f4faf9d46b4341649b32ebd9d6a140b4,887.0,dev:e0f255e00968435896705b917cd569f7
tm:07ca39231aad4d5eb5c3211c6c1815d9,937.5,dev:225605e54a1d4a808f8da32766701c52
tm:156a1e2b50634143a96f96cb3f13a195,973.0,dev:e0f255e00968435896705b917cd569f7
tm:a5708cd3ec71481dbc6299755188f752,1018.0,dev:225605e54a1d4a808f8da32766701c52
tm:36afd4be2fe44f278442e9dcdd5141e3,881.5,dev:225605e54a1d4a808f8da32766701c52
tm:37e137993ea44f799df5b15055449f7e,856.0,dev:c62dbc93abe24f389d717bddc88eed43
tm:27e1eb682a7f4717b53f1516bfa596d7,783.0,dev:e0f255e00968435896705b917cd569f7
tm:11f0922337e34423aca13a66f9e719cf,1057.0,dev:e0f255e00968435896705b917cd569f7
tm:288cf6b0f5684a2d888dfd36aa1c663f,584.0,dev:2d332e39951049dca8676ee7b0c29d83
tm:3137f2ca885c4d7e8f35748d828ded40,589.0,dev:a7f5410bb99241ca848dc06899612a67
tm:7614d5c3675e4ccc9141c30d3d08869e,598.5,dev:82b3b7c46da34694bb75160dd9420a89
tm:1b9f51d5b499418c8bd8936d5664bf3b,612.0,dev:010dd6fd63994644ba1e388a17e709cc
tm:1b8fc0f0fed2444fa33b58a22e7e8f76,617.0,dev:f8a1980aaaa149859a2d2fb8ab2829bd
tm:62bd2178bcf74b2f85e3f3c0c4ce1262,695.5,dev:2d332e39951049dca8676ee7b0c29d83
tm:480df658d9b3415cab45cc81629d867c,700.5,dev:a7f5410bb99241ca848dc06899612a67
tm:65bf6e8ae2ef4bbf8948c5899ad8eae6,692.0,dev:82b3b7c46da34694bb75160dd9420a89
tm:82555a6f538a41e9a035c2841433a825,741.0,dev:010dd6fd63994644ba1e388a17e709cc
tm:f2f6ce0bf58d49bab59072f3283281ec,746.0,dev:f8a1980aaaa149859a2d2fb8ab2829bd
tm:6ebed7d62c2e4c5c9320e2790c7780f9,807.5,dev:2d332e39951049dca8676ee7b0c29d83
tm:dffdd0975d1c4990a1048c709cc8ebd0,812.5,dev:a7f5410bb99241ca848dc06899612a67
tm:da77683b1a2d49d9bc2810ad2fb0b93a,785.5,dev:82b3b7c46da34694bb75160dd9420a89
tm:fcf2ab1e83d243ffa30c9cc1bdb3c4e2,869.0,dev:010dd6fd63994644ba1e388a17e709cc
tm:11c3bba319044fcdaff5c79a485cf905,874.0,dev:f8a1980aaaa149859a2d2fb8ab2829bd
tm:9464f7873f78402d819d895bbfa6e76e,921.0,dev:2d332e39951049dca8676ee7b0c29d83
tm:8b43284440e84f899d6e5f53d9880f66,926.0,dev:a7f5410bb99241ca848dc06899612a67
tm:3aecd00bf6d54643b6d658bc06ccd1b6,1032.0,dev:a7f5410bb99241ca848dc06899612a67
tm:0b6694da1aeb4976b9fbefa5424e98a9,1138.5,dev:2d332e39951049dca8676ee7b0c29d83
tm:78bc887564c749438680c08798ac7ca0,1143.5,dev:a7f5410bb99241ca848dc06899612a67
tm:b010a69a620d4a2891ceae51b3058a52,934.0,dev:2d332e39951049dca8676ee7b0c29d83
tm:f0ae696143c64fa29ae3ca124f8455b7,939.0,dev:a7f5410bb99241ca848dc06899612a67
tm:e46374dd5d514b40bfcc3a4db5da8592,754.5,dev:82b3b7c46da34694bb75160dd9420a89
tm:da170eb4ebdd42159d2fcdb818b71b08,871.0,dev:010dd6fd63994644ba1e388a17e709cc
tm:e2caa101610942c195c565bbf38e9c82,1118.0,dev:82b3b7c46da34694bb75160dd9420a89
tm:eac8531df64747e5b05256ca21ca6b92,414.0,dev:3a846c33da374c3f9f1401a2204e3569
tm:6a13b6af2a3945949270ddecfdb36f93,456.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:3f8a5aee3331476fb634568706011a45,446.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:c765711fa8a14d15a78076587b4cc626,508.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:deecc6ab119640b2a9b4172cb87b98ab,555.5,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:9fbc92dd746d4b89a84675cc26ae7d5a,554.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:527e94da24b54eb5ad86cf529c87a36c,604.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:642b5cf8322d4eff9c3d5de867333cbf,652.5,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:d6b95f8cdaa946ba9a337f51f57e81da,657.0,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:87bc62af8b1e44daaaa2d948e3b5ecc5,701.0,dev:3a846c33da374c3f9f1401a2204e3569
tm:e1d76fac9f2440a2ae5210a03cf5248d,765.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:1fe48570af014b379345fe6272653e7d,798.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:91d67034e87f4b1dacfd085e148aa0bb,691.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:3de256d09a7a4feabdf3df127bfc092a,650.0,dev:f7b8be5d187d41c18daa4930d849d1f3
tm:9e4337fcbf2a4a498f68d987d1639873,655.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:7161faad8ab346e382d932ca648976d3,634.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:1d4b9d76bbd14c2bb4553deef84ef3f0,790.5,dev:3a846c33da374c3f9f1401a2204e3569
tm:5bb6a7f890ff47deb21f67e581cd643d,784.0,dev:f7b8be5d187d41c18daa4930d849d1f3
tm:69e35b939a984932957d8fc3d6cfe7df,789.0,dev:2bcbd013b84b4e78a5c20ba62468f302
tm:9d094cc827c84c9eadcf878562d9a289,779.5,dev:4f8c5a5364294099ad1a74332cd83b7e
tm:2399f042c0f54f5aa0d1f8e755afb5b2,531.0,dev:99b24802323d481a8a24a8face6f4843
tm:86a5a5f0e96e4f76a177e6457f632048,542.5,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:9038ef33091a49539157a06c6f4f1ad6,551.0,dev:6d39f2500e464d178db757c01ac8b0b9
tm:26f2e577fa7441fa9305e924572facb6,630.5,dev:99b24802323d481a8a24a8face6f4843
tm:47d9cf6c30e44a289443f7aa8218ba52,643.5,dev:9014db0ce0c140aa9830e1ca81ec69f2
tm:3cb28565022e4d8a92b1e3dae7f9384f,666.0,dev:6d39f2500e464d178db757c01ac8b0b9
tm:15ef86a1dcdb471daf0802c083b581b2,726.5,dev:99b24802323d481a8a24a8face6f4843
tm:42dae3cae20547e38cae8344e821b2fa,731.5,dev:d002253be69942a891d20dc031cc93ba
