devices.uid,devices.name,devices.risk_threshold,devices.repair_time,devices.use_duration,devices.repair_skill,devices.json_law,devices.machine_id,devices.phm_module_id
dev:f0327ef99d564757bb56913e609ed8fe,Dv3,0.01,5.0,81.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:d92c3cb97f434cafb74a33f2abe01268,phm:fcc271d05a16475892b16905b54618fe
dev:d002253be69942a891d20dc031cc93ba,Dv1,0.01,5.0,288.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 96.12373529556551, ""scale"": 2.0}}",ma:8fb0aa48979149ccaa27c32f54a499be,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:66a89a37d02449279a7d2d71c8220878,Dv2,0.01,5.0,288.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:8fb0aa48979149ccaa27c32f54a499be,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:99b24802323d481a8a24a8face6f4843,Dv3,0.01,5.0,79.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 89.9132212406024, ""scale"": 2.0}}",ma:8fb0aa48979149ccaa27c32f54a499be,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:8c137899d0b94f06b30d41fb20c167d9,Dv4,0.01,5.0,84.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:8fb0aa48979149ccaa27c32f54a499be,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:56aa35691ae2472889df1019d833130a,Dv1,0.01,5.0,205.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:b61bdbce3b5e4028aa7f0e2bdae79522,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:2c16441056854f159665783781a50005,Dv2,0.01,5.0,205.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 110.03225093496279, ""scale"": 2.0}}",ma:b61bdbce3b5e4028aa7f0e2bdae79522,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:45100c583d204b768b704d41a81d3dcd,Dv3,0.01,5.0,18.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:b61bdbce3b5e4028aa7f0e2bdae79522,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:9014db0ce0c140aa9830e1ca81ec69f2,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 96.72895672103186, ""scale"": 2.0}}",ma:b61bdbce3b5e4028aa7f0e2bdae79522,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:e943c88aab0e428e8f5dd93580909acb,Dv1,0.01,5.0,131.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:2d06e2ff58e048f28d8f77034ea3d83d,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:6d39f2500e464d178db757c01ac8b0b9,Dv2,0.01,5.0,8.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 106.9325403050291, ""scale"": 2.0}}",ma:2d06e2ff58e048f28d8f77034ea3d83d,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:8889feba87674bfb9504b492f13cc1af,Dv3,0.01,5.0,7.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:2d06e2ff58e048f28d8f77034ea3d83d,phm:75cf2dce7a48448bb8e4ecf1dcb29ec4
dev:f150a2c9a9a742e5b8056a56fd1194e2,Dv1,0.01,5.0,300.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 96.79865661164253, ""scale"": 2.0}}",ma:0ca42e9ffd8c42e291cbdb4e0a808434,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:59f7bedf52eb467b946dfe82b6810a92,Dv2,0.01,5.0,300.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:0ca42e9ffd8c42e291cbdb4e0a808434,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:3a3723ede126482ba6d6b2898f219aa7,Dv3,0.01,5.0,21.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 79.0373265146718, ""scale"": 2.0}}",ma:0ca42e9ffd8c42e291cbdb4e0a808434,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:116b0d05043d41e5ae9f01ddea90d288,Dv4,0.01,5.0,132.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:0ca42e9ffd8c42e291cbdb4e0a808434,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:11d9a75f20b54bb6a7191106e7339e08,Dv1,0.01,5.0,91.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:9180381d9c3f435795dc110c6b9d713e,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:f615d819fb51414abf072597158bc83b,Dv2,0.01,5.0,7.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 112.3813114999536, ""scale"": 2.0}}",ma:9180381d9c3f435795dc110c6b9d713e,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:a009df9f2df941a1930423e83ebc00a9,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:9180381d9c3f435795dc110c6b9d713e,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:8ba203e696974d28a086402d7ab80f73,Dv4,0.01,5.0,43.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 104.4376800079509, ""scale"": 2.0}}",ma:9180381d9c3f435795dc110c6b9d713e,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:5058e38ad0f44c8991d9802225f1a96e,Dv1,0.01,5.0,150.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:5edd10fc9fdc49d1af00c922f032d16c,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:4e4d378f567d410487d697241734c3c7,Dv2,0.01,5.0,23.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 92.99793532188299, ""scale"": 2.0}}",ma:5edd10fc9fdc49d1af00c922f032d16c,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:6f9a3b604aef42039c94e60ef27be066,Dv3,0.01,5.0,37.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:5edd10fc9fdc49d1af00c922f032d16c,phm:52a0d99a331b4da8b547dfdef08ec22b
dev:da3906f13fe24996a59811ebee9ee930,Dv1,0.01,5.0,347.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 103.97492680459521, ""scale"": 2.0}}",ma:6306e0a47ec44d1a8f62a524509e4534,phm:537e02049af34be5b7376e9c4af4ec77
dev:79db8cf740c947948483ef36aa0a290a,Dv2,0.01,5.0,347.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:6306e0a47ec44d1a8f62a524509e4534,phm:537e02049af34be5b7376e9c4af4ec77
dev:09726e9da7624d3b965d49354ac7e211,Dv3,0.01,5.0,53.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 103.79492630768532, ""scale"": 2.0}}",ma:6306e0a47ec44d1a8f62a524509e4534,phm:537e02049af34be5b7376e9c4af4ec77
dev:d6c5c43b5b214d48a9ff02dabcdfa6cd,Dv4,0.01,5.0,65.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:6306e0a47ec44d1a8f62a524509e4534,phm:537e02049af34be5b7376e9c4af4ec77
dev:e8d6902a9a7a41a8996ea748ce004c9d,Dv1,0.01,5.0,273.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:c83e02cfdfee42fc959424ebc49a69f7,phm:537e02049af34be5b7376e9c4af4ec77
dev:c7dafb8198fe4fb1bf6e5efb7f9f2b7c,Dv2,0.01,5.0,273.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 106.23865850206693, ""scale"": 2.0}}",ma:c83e02cfdfee42fc959424ebc49a69f7,phm:537e02049af34be5b7376e9c4af4ec77
dev:24faa30b0ce34950bdcd27619c9df019,Dv3,0.01,5.0,90.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:c83e02cfdfee42fc959424ebc49a69f7,phm:537e02049af34be5b7376e9c4af4ec77
dev:e72e61005f7547e1aa96aa2839cbf6b4,Dv4,0.01,5.0,7.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 95.07312286775202, ""scale"": 2.0}}",ma:c83e02cfdfee42fc959424ebc49a69f7,phm:537e02049af34be5b7376e9c4af4ec77
dev:8ff770615bb94aaa9d943b5babd7407d,Dv1,0.01,5.0,130.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:448666324cde4fcb91805b2274416bf9,phm:537e02049af34be5b7376e9c4af4ec77
dev:66170306dad64e86884a4d8efd85f2e7,Dv2,0.01,5.0,16.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 88.51356913692923, ""scale"": 2.0}}",ma:448666324cde4fcb91805b2274416bf9,phm:537e02049af34be5b7376e9c4af4ec77
dev:eaf62477455a43ccad9364a3642dca88,Dv3,0.01,5.0,13.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:448666324cde4fcb91805b2274416bf9,phm:537e02049af34be5b7376e9c4af4ec77
dev:0cd67f51c5c04038b400229d1b211279,Dv1,0.01,5.0,269.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 110.83101288334711, ""scale"": 2.0}}",ma:2162cf57ed0944b79a0cd2e9f412dda5,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:04326faf605e4451b168035d87ed1dad,Dv2,0.01,5.0,269.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:2162cf57ed0944b79a0cd2e9f412dda5,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:f48672373e1442e9b87d3c06fbcf49b6,Dv3,0.01,5.0,24.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 91.3238502027561, ""scale"": 2.0}}",ma:2162cf57ed0944b79a0cd2e9f412dda5,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:2d808c9bd7624b47a82582f876a019a2,Dv4,0.01,5.0,139.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:2162cf57ed0944b79a0cd2e9f412dda5,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:348d9311f14443a9b31fcbe3fc09b24a,Dv1,0.01,5.0,105.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:7c137271f4c644afb93f0f1d62ea8e72,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:39a1fe53bbaa445d958cbb59b7c16018,Dv2,0.01,5.0,105.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 117.70747145746611, ""scale"": 2.0}}",ma:7c137271f4c644afb93f0f1d62ea8e72,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:6ea4049fefd04697b1b91315d0fe38d6,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:7c137271f4c644afb93f0f1d62ea8e72,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:20a40dd7f232420c831cb46be36c815c,Dv4,0.01,5.0,10.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 93.76900391731877, ""scale"": 2.0}}",ma:7c137271f4c644afb93f0f1d62ea8e72,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:c8875c0baab94137ae037a61572ac204,Dv1,0.01,5.0,107.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:a7180ffd57bb4982af2092b62224ffc2,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:959203f7cafc4b218841cc27d96e70be,Dv2,0.01,5.0,50.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 107.05190312159314, ""scale"": 2.0}}",ma:a7180ffd57bb4982af2092b62224ffc2,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:38df343521894af7877ce30e521dd8fd,Dv3,0.01,5.0,49.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:a7180ffd57bb4982af2092b62224ffc2,phm:b1cbd1bdd202479cbfe561e3ebe2a693
dev:84c65f0d15ca40018ff0d9f8000db406,Dv1,0.01,5.0,200.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 93.65764105603714, ""scale"": 2.0}}",ma:80bc6281528945b29f472e7d5e9f6f98,phm:f315f6adebca4d3785b78a776f68e365
dev:fe0fe4a7a4f945f897fe32a209a65be6,Dv2,0.01,5.0,200.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:80bc6281528945b29f472e7d5e9f6f98,phm:f315f6adebca4d3785b78a776f68e365
dev:021a01a8f16142a1bbac70295783e279,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 92.66361416716282, ""scale"": 2.0}}",ma:80bc6281528945b29f472e7d5e9f6f98,phm:f315f6adebca4d3785b78a776f68e365
dev:a8f8b0793b1e4f20ab6ad76640351a7c,Dv4,0.01,5.0,68.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:80bc6281528945b29f472e7d5e9f6f98,phm:f315f6adebca4d3785b78a776f68e365
dev:f59702dbea7442528badd6ee94a9cdd1,Dv1,0.01,5.0,61.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:72b95339224d45adbc554e5a0d27e80b,phm:f315f6adebca4d3785b78a776f68e365
dev:a622d6d0e637403ebe04d60b6914ee2a,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 95.5196100730422, ""scale"": 2.0}}",ma:72b95339224d45adbc554e5a0d27e80b,phm:f315f6adebca4d3785b78a776f68e365
dev:a520564cb16c4b31b31969f2268ddb45,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:72b95339224d45adbc554e5a0d27e80b,phm:f315f6adebca4d3785b78a776f68e365
dev:f013821889c046c2ad179d69793afe91,Dv4,0.01,5.0,61.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 102.99086381645459, ""scale"": 2.0}}",ma:72b95339224d45adbc554e5a0d27e80b,phm:f315f6adebca4d3785b78a776f68e365
dev:6e95b61d374347fe96676b78c0ecfc3c,Dv1,0.01,5.0,180.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:30fa81713c584edcb0279f05e9b9b9da,phm:f315f6adebca4d3785b78a776f68e365
dev:d1e97fd18b904b2491a214f1a4c60483,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 85.8699054600807, ""scale"": 2.0}}",ma:30fa81713c584edcb0279f05e9b9b9da,phm:f315f6adebca4d3785b78a776f68e365
dev:41cfac12d14049b3a990c3a4f2f4dc01,Dv3,0.01,5.0,100.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:30fa81713c584edcb0279f05e9b9b9da,phm:f315f6adebca4d3785b78a776f68e365
dev:813f8603c81a44c6a68bfe337c44a0b3,Dv1,0.01,5.0,241.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 101.94741984414749, ""scale"": 2.0}}",ma:167cfcb321d14165b62d3c090e836776,phm:4e585fe85ada4608b65f16304a04b253
dev:664887c19edf4b5786cdab376b771af7,Dv2,0.01,5.0,241.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:167cfcb321d14165b62d3c090e836776,phm:4e585fe85ada4608b65f16304a04b253
dev:c6120391722d453495ab7780c1916e9c,Dv3,0.01,5.0,16.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 91.36500655386158, ""scale"": 2.0}}",ma:167cfcb321d14165b62d3c090e836776,phm:4e585fe85ada4608b65f16304a04b253
dev:295b004c33dc4be1a6d53418afd6e1f7,Dv4,0.01,5.0,69.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:167cfcb321d14165b62d3c090e836776,phm:4e585fe85ada4608b65f16304a04b253
dev:e043bfc049454a6e8eead0405ee84ea8,Dv1,0.01,5.0,141.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:710555edbf5d4c26aa4572a995560dde,phm:4e585fe85ada4608b65f16304a04b253
dev:6596adccee814a94a1d2c48f795e1758,Dv2,0.01,5.0,141.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 98.66070688411628, ""scale"": 2.0}}",ma:710555edbf5d4c26aa4572a995560dde,phm:4e585fe85ada4608b65f16304a04b253
dev:6540e0fe046f48a2afb1946d9f9261fa,Dv3,0.01,5.0,19.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:710555edbf5d4c26aa4572a995560dde,phm:4e585fe85ada4608b65f16304a04b253
dev:dd0a70c3245f4456a7bbf423e313b327,Dv4,0.01,5.0,7.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 89.03920461316766, ""scale"": 2.0}}",ma:710555edbf5d4c26aa4572a995560dde,phm:4e585fe85ada4608b65f16304a04b253
dev:681833691bc04a83990d4e418c2b5d8f,Dv1,0.01,5.0,208.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:376a2ebf0a8348fb8a4dd2498f5f6766,phm:4e585fe85ada4608b65f16304a04b253
dev:0d9221fa9945438686409c97356f1a94,Dv2,0.01,5.0,28.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 90.13656183735863, ""scale"": 2.0}}",ma:376a2ebf0a8348fb8a4dd2498f5f6766,phm:4e585fe85ada4608b65f16304a04b253
dev:1f0077197fb94b688f1b17cc1206c01f,Dv3,0.01,5.0,60.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:376a2ebf0a8348fb8a4dd2498f5f6766,phm:4e585fe85ada4608b65f16304a04b253
dev:1393d2b7b1694085810dba4884e45c7a,Dv1,0.01,5.0,283.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 98.2563968438915, ""scale"": 2.0}}",ma:bd443706cece468ab0b0417478669f25,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:e46087e7dd7841e096d69c03a89594b6,Dv2,0.01,5.0,283.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:bd443706cece468ab0b0417478669f25,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:225605e54a1d4a808f8da32766701c52,Dv3,0.01,5.0,28.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 77.46804346583748, ""scale"": 2.0}}",ma:bd443706cece468ab0b0417478669f25,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:94fdc8bcceab47c3987e29ceae38f0e3,Dv4,0.01,5.0,88.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:bd443706cece468ab0b0417478669f25,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:683b6cbe2c544a08bbc03c6b426361a3,Dv1,0.01,5.0,205.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:be5dc23a42754e7bb3bac3b2e1ad0594,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:c62dbc93abe24f389d717bddc88eed43,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 107.30818523125696, ""scale"": 2.0}}",ma:be5dc23a42754e7bb3bac3b2e1ad0594,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:f6f56a4212054e399bade34e23fd24f3,Dv3,0.01,5.0,90.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:be5dc23a42754e7bb3bac3b2e1ad0594,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:e4f37140bd254a2a8f8d4c28bce608ae,Dv4,0.01,5.0,115.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 115.52130602599996, ""scale"": 2.0}}",ma:be5dc23a42754e7bb3bac3b2e1ad0594,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:a7024a0372584c9c9cef8866da2e445f,Dv1,0.01,5.0,136.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:6603b4d2f4e747a1b47cb39fed7b8d73,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:e0f255e00968435896705b917cd569f7,Dv2,0.01,5.0,10.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 77.30451575184857, ""scale"": 2.0}}",ma:6603b4d2f4e747a1b47cb39fed7b8d73,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:ca610d01397543a89e35f94fc51e8d74,Dv3,0.01,5.0,18.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:6603b4d2f4e747a1b47cb39fed7b8d73,phm:6e90b00c6dcc4885958ad7dd089c3505
dev:386938cddc204eaca37e25dc36fcc5ee,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 87.12182077151888, ""scale"": 2.0}}",ma:a62cfadc622447598c9fde014e804162,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:c43392e4b5ff4a81a6824451683c5c0b,Dv2,0.01,5.0,268.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:a62cfadc622447598c9fde014e804162,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:ca572be63e9340fa8b2319d76fcf231f,Dv3,0.01,5.0,268.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 97.05440193463926, ""scale"": 2.0}}",ma:a62cfadc622447598c9fde014e804162,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:8dcca0b0390a44c4b81d149924c429f3,Dv4,0.01,5.0,113.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:a62cfadc622447598c9fde014e804162,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:51753e82bd3f4da6b1c638f837e599a8,Dv1,0.01,5.0,168.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:488fa053c68644a69492392f4a51e90c,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:7342fa2e0b6a4a03b1bf3b38fd094ed6,Dv2,0.01,5.0,168.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 124.74186410820829, ""scale"": 2.0}}",ma:488fa053c68644a69492392f4a51e90c,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:ebc44e9de18f4a4687c4bb45160e9e62,Dv3,0.01,5.0,13.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:488fa053c68644a69492392f4a51e90c,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:5e9d5b7022c645609515a08510d8fe1c,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 99.37833886513265, ""scale"": 2.0}}",ma:488fa053c68644a69492392f4a51e90c,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:d501263712e04c25a4db53f2fa171599,Dv1,0.01,5.0,114.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:4bf9b909050049c6866347f2ede3d342,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:60537210eb5142139fbf55b30582c004,Dv2,0.01,5.0,12.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 120.54949775010776, ""scale"": 2.0}}",ma:4bf9b909050049c6866347f2ede3d342,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:f891cd776d2c48e1bb54b743e79f7218,Dv3,0.01,5.0,22.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:4bf9b909050049c6866347f2ede3d342,phm:dd1f767f33c0412fab27b3fcda74ce77
dev:a7f5410bb99241ca848dc06899612a67,Dv1,0.01,5.0,112.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 98.91064672730992, ""scale"": 2.0}}",ma:840898b2a7c44ce686990ffe164d31c7,phm:2d838c2e8d02450ca254e3822b8898f6
dev:685ab465c61e4873825c90560edc483a,Dv2,0.01,5.0,296.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:840898b2a7c44ce686990ffe164d31c7,phm:2d838c2e8d02450ca254e3822b8898f6
