production_tasks.uid,production_tasks.duration,production_tasks.routing_id
tf:8a6a90625e014d7387c1ce27b3c03a37,8.0,ro:6460aa643a844289890c7aecaddadbbb
tf:18fe0a3f236b41a18a6d19530f52f473,5.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:ad569c63bbff4ba4a12a373c4cf2707b,8.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:ba430daa80de437dae3cefeb97eec657,2.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:5e27ef3ae61f4b37b989585bbefed732,2.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:2bbd5aaf817c46d4a06a05cf1bdf0c11,3.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:c8d1ce3fdc534dbd85ed8aa41eb48b19,8.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:f8c804d14c7a42f3833577f11232e957,3.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:286122af1cc54d2a9890cfca9ac9a493,3.0,ro:296a1c80f62044c995ef9a9708e4c43a
tf:d154f579d0514bfaa1cb43fdb7b103ac,5.0,ro:8793c4b96ed44428ab6bc73e3d34edc7
tf:77e9fff44796413886533e268807df18,4.0,ro:8793c4b96ed44428ab6bc73e3d34edc7
tf:25b506b4f3644dd196ac7c67bdd66d54,8.0,ro:8793c4b96ed44428ab6bc73e3d34edc7
tf:d100953ca9b44814a8a76eb995cf0c44,8.0,ro:8793c4b96ed44428ab6bc73e3d34edc7
tf:22355fb4edff4570bab70e73ea4742b8,3.0,ro:8793c4b96ed44428ab6bc73e3d34edc7
tf:1ef2d97b1f554d31b4000dea051c1032,3.0,ro:8793c4b96ed44428ab6bc73e3d34edc7
tf:99dc973908b74f848a9a960288a4ec78,4.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:a93a31a774884e7282c59a3a07ef39b0,6.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:a811b3f9da3c473ca17877d52710c65b,3.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:cbdb23e6ac01408e8d9845b2c98494ae,6.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:212da8ed31da46b8a955af2f3e9a6fa3,2.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:7f9818dd6df841b891b0dc6f9097a768,6.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:8e0758b4edb34b5bb430a659cbbf3aae,4.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:f1bb501029014299a78627dcaa430c8f,9.0,ro:f5d2e21c23824511b5bf329ec6a6836c
tf:4990aa34ce534e9bb019322ff24b13ba,8.0,ro:a47accb153954a2088c07cc6d284843a
tf:35daeba249d043d2bdcab6bfff996e1a,4.0,ro:a47accb153954a2088c07cc6d284843a
tf:efc9cb56f86849ebb14979764f75c76f,7.0,ro:a47accb153954a2088c07cc6d284843a
tf:c5bc2d709b6448a6a99b9ee8c032114c,8.0,ro:a47accb153954a2088c07cc6d284843a
tf:a0026cd64cb14a989887478916b24ff4,7.0,ro:a47accb153954a2088c07cc6d284843a
tf:a1a36e49127442c6827c14d9784b4943,4.0,ro:72e5361ccdf541d88699f9165774900c
tf:a72641be475b48708606112ad84d76fe,9.0,ro:72e5361ccdf541d88699f9165774900c
tf:705e12e6934940d0a4c0fae32c4c77b8,2.0,ro:72e5361ccdf541d88699f9165774900c
tf:d80369196cd44ba194f18c6813495037,3.0,ro:72e5361ccdf541d88699f9165774900c
tf:ac19c1566ee44ebda83fb8f95c9b9b30,2.0,ro:72e5361ccdf541d88699f9165774900c
tf:c36d857020b044ef8eacbcfc5983f856,1.0,ro:01cbc9ba8ba44ecebfc2a8ff30518316
tf:04b1f28f3acd451b8d90afd2b01c5627,3.0,ro:01cbc9ba8ba44ecebfc2a8ff30518316
tf:28d72905a165424496bbfc901a26ab7b,1.0,ro:01cbc9ba8ba44ecebfc2a8ff30518316
tf:c706fea56fa34ee6af36be08e1c5e726,3.0,ro:01cbc9ba8ba44ecebfc2a8ff30518316
tf:35b344f1fef647df9a3628543ef0cdfb,6.0,ro:01cbc9ba8ba44ecebfc2a8ff30518316
tf:580c99831eac4b9f9d1e2758e26c3033,1.0,ro:01cbc9ba8ba44ecebfc2a8ff30518316
tf:7cb5e9da1867408cae2ca9254bae9795,7.0,ro:01cbc9ba8ba44ecebfc2a8ff30518316
tf:29aad9de375b4bf1b8ba1c710cc8a530,7.0,ro:c200c1a5d7024b5bb0de71db9805f160
tf:40411ac5afef4c09af3e102368cd5df1,5.0,ro:c200c1a5d7024b5bb0de71db9805f160
tf:50c4167b9adb4560af7d644181c73e2b,3.0,ro:c200c1a5d7024b5bb0de71db9805f160
tf:699ff789a1004e63843afb209ae0f4c3,3.0,ro:c200c1a5d7024b5bb0de71db9805f160
tf:0e17b588ceb04bdaab26f74fd372c3d3,4.0,ro:c200c1a5d7024b5bb0de71db9805f160
tf:5ecc6e1d2d9341779d6445f698084c83,9.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:8c68e317031b463da63b08f92b53ca2c,5.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:5c04305ce9ba44a0aabe9cb93e16f23c,4.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:fb28dfb28c67438ead5256b5071a5bf9,5.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:bde04c8e97b9433782fba96f39e215c5,2.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:9990b05133ed4d628ad7efea3c8847ea,1.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:f13c3eaf30f743c880c1a0dfbdeaf199,3.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:d8e82b230604447f8929c5d2cd961795,9.0,ro:7f3659536d7a422bababba7c5cc761b0
tf:f537b50390a74bcd869558a85b96014e,6.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:fc7538c5e64d47bda28b34f95e2b2ecb,1.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:eb5dec93a8c0428cb2252b98f6b1c5c2,7.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:ac42d0206e6c4a0da0f8044241e7178c,2.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:b2843b7ac5424264a099e8aabaff84bb,4.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:f6e0d53bb04c4720bb9c72c2a4945045,4.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:74626aee93034fe997326451e6127a87,8.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:752da714ec314b8e8d2eb1c2c6f52253,3.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:5137f7f53e614387ac39a550594e8b81,8.0,ro:4a94aeec59354d8f8164cfe9952d3dc3
tf:05cd91f3f4b54e3d908a7613aa5e381a,5.0,ro:c74e636a654b418693213188d230705f
tf:bd8d87e0d2e7405096d16988b00c47b2,2.0,ro:c74e636a654b418693213188d230705f
tf:c378f32f0d874f0aaba52d0815d31ec6,7.0,ro:c74e636a654b418693213188d230705f
tf:a5e2a033f9de41179901a874eaad6f06,6.0,ro:c74e636a654b418693213188d230705f
tf:569447ade050431f8017c5d6a0ed8082,9.0,ro:c74e636a654b418693213188d230705f
tf:f8092f6b9bd64639be513713af0b644b,7.0,ro:c74e636a654b418693213188d230705f
tf:63b27f8364f34ccd89233ce1d2475399,1.0,ro:e17db9d173bd476ab0230f77651524bb
tf:3ca13953a5be434e89dc5da2436b6aad,2.0,ro:e17db9d173bd476ab0230f77651524bb
tf:229f45c331f9439a87b0a2b82dbc45ac,3.0,ro:e17db9d173bd476ab0230f77651524bb
tf:26bcc1fcb0af48eb8ecbb4e8e4c83a9e,8.0,ro:e17db9d173bd476ab0230f77651524bb
tf:88b5b98074b64c7cb202cee627432ce2,3.0,ro:e17db9d173bd476ab0230f77651524bb
tf:6adb3c86eabd4485bf7b499634c6ac40,2.0,ro:e17db9d173bd476ab0230f77651524bb
tf:79b1487a5bb24bafb2f9207a49c64da3,1.0,ro:9a441404b89845308dc824f58777e7d9
tf:65b12084f67641ff8a261fa4454aa24f,5.0,ro:9a441404b89845308dc824f58777e7d9
tf:3e9891b05d774276980e1376a23b03c4,4.0,ro:9a441404b89845308dc824f58777e7d9
tf:ce8202fc92574729bd17b24d823e551e,3.0,ro:9a441404b89845308dc824f58777e7d9
tf:97c3d31ad4894b40a3c77cf8b60a3e1f,9.0,ro:9a441404b89845308dc824f58777e7d9
tf:848df1bf9d814ad6a74b0e35a238c77b,3.0,ro:9a441404b89845308dc824f58777e7d9
tf:41e442c7603d4c39980e121aa89dfa0e,3.0,ro:9a441404b89845308dc824f58777e7d9
tf:6b196217031a4e81ac50b00120b56b36,3.0,ro:9a441404b89845308dc824f58777e7d9
tf:aa4240d076da4dcc843ff339bb0fb283,3.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:c9e76f7df0ec4ebea5d450acb684f652,9.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:00e975eccd4b40be85be7d2c8e3d309a,4.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:8aae4c8a81e140c7a2e880b63a384182,3.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:a643207ee23c4076985bf2059081cfc5,6.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:afe9028176d8447d94d952b93a2fd0ea,7.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:8ab7dd90937641849cd592948565413f,9.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:65de295a65154f57867ab031c05735e8,1.0,ro:fbf0805cd5694981a467fafdad1850a4
tf:c0109ff6914c4e168b9ce24e4bcfd4c7,2.0,ro:b3d16508ffd249f19945249eed77cccf
tf:348182ee74fe48bbbfb7ad2364e86bad,5.0,ro:b3d16508ffd249f19945249eed77cccf
tf:ce47316dd7024bd9959d5177130f0c82,4.0,ro:b3d16508ffd249f19945249eed77cccf
tf:f79a452666484a99af574b93eafd7ba0,6.0,ro:b3d16508ffd249f19945249eed77cccf
tf:0b68bfd977324f5fb0bedfc0fbd8e045,9.0,ro:b3d16508ffd249f19945249eed77cccf
tf:90f16ec3a4814a66b125d56335c2b9fb,5.0,ro:b3d16508ffd249f19945249eed77cccf
tf:b2644a6038b54aca87265748d63ed46f,7.0,ro:b3d16508ffd249f19945249eed77cccf
tf:9c9dda892c3c458faa6cc4cd91ba40a2,8.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:ed71a285a56a4b3ba2d6993ecc15f734,4.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:85eddc795cdc4bb0b95af50173360c61,1.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:5323f4877f0c46ae93c878005545443c,8.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:2094ee1418ba4f7db7e4bcdf301bb626,4.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:94aaf55d2017497aae14c77099b2bb0b,7.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:adee57aad840433ab096d748ebbdd994,4.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:7a717639202e4422aaddb8bb5bca2033,6.0,ro:a1a684948ac2496587e83ff8326bf7c2
tf:6d312dd183c64648b9e98cb7b92dfead,1.0,ro:ac2a728737e74a9ba8d643ed77610adc
tf:2fa2ee4cc8194d6d8e7c2614a76eeaf8,9.0,ro:ac2a728737e74a9ba8d643ed77610adc
tf:78c55174b6c7433e98f8c511d9bf98fc,3.0,ro:ac2a728737e74a9ba8d643ed77610adc
tf:146f7d16bc1f4fb281ca9b488079bd27,2.0,ro:ac2a728737e74a9ba8d643ed77610adc
tf:be1e9b76a6b84678be71653b05684542,8.0,ro:ac2a728737e74a9ba8d643ed77610adc
tf:4840e500e41b44e6888f8e7241e887ff,6.0,ro:ac2a728737e74a9ba8d643ed77610adc
tf:e2b52f855ed8412eabaa6f178c0eaea9,9.0,ro:ac2a728737e74a9ba8d643ed77610adc
tf:e92d5109bc7c40b9bd5e274f3f5906ce,8.0,ro:f2c166881f004341b5b819c9dc30d377
tf:8f5e5b8d7e4a4404be1f620961d912ac,3.0,ro:f2c166881f004341b5b819c9dc30d377
tf:389646c3188e4d12ac1ceded5a3297cd,8.0,ro:f2c166881f004341b5b819c9dc30d377
tf:4be40112f0204a9b86ca9421815e1c75,1.0,ro:f2c166881f004341b5b819c9dc30d377
tf:165fcd2d71c349758af2435848d67ee5,7.0,ro:f2c166881f004341b5b819c9dc30d377
tf:418e3ec52aee45f791dd80e42a63f080,9.0,ro:f2c166881f004341b5b819c9dc30d377
tf:17a02443d50f4539934c601d8f519e99,4.0,ro:f2c166881f004341b5b819c9dc30d377
tf:12719adec842480bb637d96d0b3bb620,4.0,ro:64b95bb819404a588515ad779749cfaf
tf:f83155a829d6442381b235194375608e,4.0,ro:64b95bb819404a588515ad779749cfaf
tf:0b612c864d0943949ff051c6497c6ce3,7.0,ro:64b95bb819404a588515ad779749cfaf
tf:c65527fe82124dd08afedc3eef80fe2d,2.0,ro:64b95bb819404a588515ad779749cfaf
tf:67ab985d1d024a73a582d521a954b815,9.0,ro:64b95bb819404a588515ad779749cfaf
tf:cca929e3fdc941fc8eccd05e195d1a6b,8.0,ro:7c31b85f7d0b4e89a0fc4c1b4283d3f9
tf:03049d48cea34eba8202ef35dee021f6,5.0,ro:7c31b85f7d0b4e89a0fc4c1b4283d3f9
tf:17536b35a3b44c608702834d49f70f78,4.0,ro:7c31b85f7d0b4e89a0fc4c1b4283d3f9
tf:2f08dd3050394170a37315b10bd70bb7,9.0,ro:7c31b85f7d0b4e89a0fc4c1b4283d3f9
tf:7656ec27de3b421c8dd6480d22c8f9de,4.0,ro:7c31b85f7d0b4e89a0fc4c1b4283d3f9
tf:10f223d50fd74b28ba2569a7169acd46,1.0,ro:96d7fcc04bb2443fa7b9a90e74862e0c
tf:38c14de49b7a43ae9466bd8d28129e8c,9.0,ro:96d7fcc04bb2443fa7b9a90e74862e0c
tf:bbc59b95338e43e790251544f03c1a42,5.0,ro:96d7fcc04bb2443fa7b9a90e74862e0c
tf:a40197cbd3a741f4a14fbe124df708b2,7.0,ro:96d7fcc04bb2443fa7b9a90e74862e0c
tf:4a2074088fc6430d9474e803e563974a,6.0,ro:96d7fcc04bb2443fa7b9a90e74862e0c
tf:9bd73b8c6049478081ad819300187f87,2.0,ro:96d7fcc04bb2443fa7b9a90e74862e0c
tf:c0303e7dc00f41e9bd9a17110fdbca9e,7.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:0caa9901369e4afa9cbc558b0cc9e1b5,5.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:1007e00dcb72414b9d9fd7a2f3143492,5.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:93fcd51f0a1e459bb60694142fd7dab6,3.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:b2b0d535fdee4104b42cc18f24c34313,4.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:6225440170774ecf8e0e690b9095707f,3.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:0a4295d812034f7699d6c5df437c89d1,2.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:b84afe354ae5496bb190895feaad2194,2.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:dc5e4e2bea2c46c7ab2809354e8bb8ce,7.0,ro:6b89efd07f984cc4ba698e7ccb69bafe
tf:3ee7c975f5ca4cfebb572ac5b8eb4823,3.0,ro:06a48558f9284562a740a5eafc554604
tf:4c0240af7d6d44f5817c023e308657b0,4.0,ro:06a48558f9284562a740a5eafc554604
tf:69ac581f127f4a07a27591ebe9dd0e35,7.0,ro:06a48558f9284562a740a5eafc554604
tf:d97b8a6c51b847f5baa72af3a2678b30,6.0,ro:06a48558f9284562a740a5eafc554604
tf:f64d7e113da1415dad920ee0f781f8d5,9.0,ro:06a48558f9284562a740a5eafc554604
tf:c58d8a61472841e1b1434ebf48fdb08b,6.0,ro:06a48558f9284562a740a5eafc554604
tf:f6936d2da3474aab85eee914df0d7ffc,4.0,ro:06a48558f9284562a740a5eafc554604
tf:993841687a2540c6b3875be2802d1558,8.0,ro:06a48558f9284562a740a5eafc554604
tf:6aa8d0a2766e4c0e960dba356dcd2966,9.0,ro:06a48558f9284562a740a5eafc554604
tf:df621a47abbb4b518647708c5d57fdc9,3.0,ro:ec0dc62f4558483d90490f194ea7ee5d
tf:d4c03f41265f4a41ab7b9712d346c4ba,8.0,ro:ec0dc62f4558483d90490f194ea7ee5d
tf:a0970f761b834a34848f88849bf2f31b,3.0,ro:ec0dc62f4558483d90490f194ea7ee5d
tf:26cd11487c44447d87631207b9ec7ab9,3.0,ro:ec0dc62f4558483d90490f194ea7ee5d
tf:6d84c8c92a4449bea51b240facd0d5cf,3.0,ro:ec0dc62f4558483d90490f194ea7ee5d
tf:0fdabcfddca847e7bf58d02bd37630f5,3.0,ro:ec0dc62f4558483d90490f194ea7ee5d
tf:2006d74e76b048b4a912066dbb88c939,4.0,ro:ec0dc62f4558483d90490f194ea7ee5d
tf:3919c349cd6a4a1188d3455343cfe370,9.0,ro:b1695014164d422e93766d24b3143c51
tf:4372c59eed2d4934a7e3a87e6fb8520f,4.0,ro:b1695014164d422e93766d24b3143c51
tf:9bd996bc77fc4993b352c910f79b3ee2,4.0,ro:b1695014164d422e93766d24b3143c51
tf:ae769f06098a48a0988b2896515b5fe7,5.0,ro:b1695014164d422e93766d24b3143c51
tf:70e5af486f54412793ed25c9f5a860c0,8.0,ro:b1695014164d422e93766d24b3143c51
tf:8c39941d9f1b4b11a358bf8a6d508561,4.0,ro:b1695014164d422e93766d24b3143c51
tf:0b821c4b09f84d9caf33da6a3868ea33,5.0,ro:f0caa622fbec4a3baf174bbcdb46a40d
tf:4555bd2b84a94d139247644d7caa346b,9.0,ro:f0caa622fbec4a3baf174bbcdb46a40d
tf:56f2f2229d044ab3a90c31e25ff0fde5,1.0,ro:f0caa622fbec4a3baf174bbcdb46a40d
tf:12f24f2402544eb89b70a33c3a2d4ab9,2.0,ro:f0caa622fbec4a3baf174bbcdb46a40d
tf:1435670e18b74f4a97401272a59d10c4,8.0,ro:f0caa622fbec4a3baf174bbcdb46a40d
tf:865254edcbf04426bbe02688707a17ed,7.0,ro:f0caa622fbec4a3baf174bbcdb46a40d
tf:c8eb26f1de57424786eb47957baa0255,8.0,ro:f0caa622fbec4a3baf174bbcdb46a40d
tf:cb3b1b75e12947d59b16665ff1648f18,5.0,ro:9c1fdc49d65f49bb9fffee1e7ab12bb7
tf:c804fc8aa85b4802a46fcdaab0259469,5.0,ro:9c1fdc49d65f49bb9fffee1e7ab12bb7
tf:917e72294328465e8a09f36add529fe3,4.0,ro:9c1fdc49d65f49bb9fffee1e7ab12bb7
