positions.task_id,positions.exp_id,positions.start_time,positions.end_time,positions.ressource_id
tf:65b12084f67641ff8a261fa4454aa24f,exp:727c13d92af445569ffa41240aa5f87c,515.0,520.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:aa4240d076da4dcc843ff339bb0fb283,exp:727c13d92af445569ffa41240aa5f87c,508.0,511.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:c9e76f7df0ec4ebea5d450acb684f652,exp:727c13d92af445569ffa41240aa5f87c,511.0,520.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:00e975eccd4b40be85be7d2c8e3d309a,exp:727c13d92af445569ffa41240aa5f87c,520.0,526.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:c0109ff6914c4e168b9ce24e4bcfd4c7,exp:727c13d92af445569ffa41240aa5f87c,520.0,522.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:348182ee74fe48bbbfb7ad2364e86bad,exp:727c13d92af445569ffa41240aa5f87c,527.0,532.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:ce47316dd7024bd9959d5177130f0c82,exp:727c13d92af445569ffa41240aa5f87c,532.0,536.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:f79a452666484a99af574b93eafd7ba0,exp:727c13d92af445569ffa41240aa5f87c,536.0,542.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:0b68bfd977324f5fb0bedfc0fbd8e045,exp:727c13d92af445569ffa41240aa5f87c,542.0,551.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:9c9dda892c3c458faa6cc4cd91ba40a2,exp:727c13d92af445569ffa41240aa5f87c,536.0,544.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:ed71a285a56a4b3ba2d6993ecc15f734,exp:727c13d92af445569ffa41240aa5f87c,544.0,548.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:85eddc795cdc4bb0b95af50173360c61,exp:727c13d92af445569ffa41240aa5f87c,551.0,552.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:5323f4877f0c46ae93c878005545443c,exp:727c13d92af445569ffa41240aa5f87c,552.0,560.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:2094ee1418ba4f7db7e4bcdf301bb626,exp:727c13d92af445569ffa41240aa5f87c,560.0,566.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:94aaf55d2017497aae14c77099b2bb0b,exp:727c13d92af445569ffa41240aa5f87c,566.0,573.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:adee57aad840433ab096d748ebbdd994,exp:727c13d92af445569ffa41240aa5f87c,573.0,577.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:6d312dd183c64648b9e98cb7b92dfead,exp:727c13d92af445569ffa41240aa5f87c,582.0,583.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:e92d5109bc7c40b9bd5e274f3f5906ce,exp:727c13d92af445569ffa41240aa5f87c,195.0,207.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:8f5e5b8d7e4a4404be1f620961d912ac,exp:727c13d92af445569ffa41240aa5f87c,207.0,211.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:389646c3188e4d12ac1ceded5a3297cd,exp:727c13d92af445569ffa41240aa5f87c,211.5,223.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:12719adec842480bb637d96d0b3bb620,exp:727c13d92af445569ffa41240aa5f87c,553.0,557.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:f83155a829d6442381b235194375608e,exp:727c13d92af445569ffa41240aa5f87c,557.0,561.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:cca929e3fdc941fc8eccd05e195d1a6b,exp:727c13d92af445569ffa41240aa5f87c,561.0,569.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:03049d48cea34eba8202ef35dee021f6,exp:727c13d92af445569ffa41240aa5f87c,569.0,574.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:17536b35a3b44c608702834d49f70f78,exp:727c13d92af445569ffa41240aa5f87c,574.0,578.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:2f08dd3050394170a37315b10bd70bb7,exp:727c13d92af445569ffa41240aa5f87c,578.0,587.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:7656ec27de3b421c8dd6480d22c8f9de,exp:727c13d92af445569ffa41240aa5f87c,587.0,591.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:10f223d50fd74b28ba2569a7169acd46,exp:727c13d92af445569ffa41240aa5f87c,500.0,501.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:38c14de49b7a43ae9466bd8d28129e8c,exp:727c13d92af445569ffa41240aa5f87c,596.0,609.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:c0303e7dc00f41e9bd9a17110fdbca9e,exp:727c13d92af445569ffa41240aa5f87c,609.5,616.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:3ee7c975f5ca4cfebb572ac5b8eb4823,exp:727c13d92af445569ffa41240aa5f87c,501.5,506.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:4c0240af7d6d44f5817c023e308657b0,exp:727c13d92af445569ffa41240aa5f87c,616.5,620.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:df621a47abbb4b518647708c5d57fdc9,exp:727c13d92af445569ffa41240aa5f87c,592.0,595.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:d4c03f41265f4a41ab7b9712d346c4ba,exp:727c13d92af445569ffa41240aa5f87c,595.0,603.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:a0970f761b834a34848f88849bf2f31b,exp:727c13d92af445569ffa41240aa5f87c,603.0,606.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:26cd11487c44447d87631207b9ec7ab9,exp:727c13d92af445569ffa41240aa5f87c,606.0,609.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:6d84c8c92a4449bea51b240facd0d5cf,exp:727c13d92af445569ffa41240aa5f87c,609.0,612.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:0fdabcfddca847e7bf58d02bd37630f5,exp:727c13d92af445569ffa41240aa5f87c,625.5,628.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:3919c349cd6a4a1188d3455343cfe370,exp:727c13d92af445569ffa41240aa5f87c,628.5,637.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:0b821c4b09f84d9caf33da6a3868ea33,exp:727c13d92af445569ffa41240aa5f87c,637.5,642.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:cb3b1b75e12947d59b16665ff1648f18,exp:727c13d92af445569ffa41240aa5f87c,612.0,617.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:c804fc8aa85b4802a46fcdaab0259469,exp:727c13d92af445569ffa41240aa5f87c,647.5,652.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:917e72294328465e8a09f36add529fe3,exp:727c13d92af445569ffa41240aa5f87c,652.5,656.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:8fafa06ea36147b4aed1b3fd947bcaca,exp:727c13d92af445569ffa41240aa5f87c,656.5,665.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:54bd1e1971914f6c88ccfb9baf4625de,exp:727c13d92af445569ffa41240aa5f87c,665.5,667.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:9630f19a91cb4dceac4642ffb6be3a60,exp:727c13d92af445569ffa41240aa5f87c,617.0,620.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:0d19728d822445d5b57fee6151ab60d1,exp:727c13d92af445569ffa41240aa5f87c,620.0,626.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:c4867bb6bf104e439bf75e776fcd44f1,exp:727c13d92af445569ffa41240aa5f87c,667.5,672.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:0554208df0324da89c21e38cb84f4ab9,exp:727c13d92af445569ffa41240aa5f87c,672.5,674.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:5263376237ca4d3abec2c7b162ece4c5,exp:727c13d92af445569ffa41240aa5f87c,674.0,680.0,ma:8fb0aa48979149ccaa27c32f54a499be
tm:c89e4ef08c3846ddb72422ac39ca4692,exp:727c13d92af445569ffa41240aa5f87c,503.0,508.0,mr:3cbe77ad209c4b35b650910a38b45289
tm:e6b9e3183d9a4411bb08adfa12434229,exp:727c13d92af445569ffa41240aa5f87c,577.0,582.0,mr:3cbe77ad209c4b35b650910a38b45289
tm:ac72c593e3df4083a599d0ba55b94120,exp:727c13d92af445569ffa41240aa5f87c,591.0,596.0,mr:3cbe77ad209c4b35b650910a38b45289
tm:1d0756c1ae8f40a1bd6cc7d594d9369b,exp:727c13d92af445569ffa41240aa5f87c,620.5,625.5,mr:3cbe77ad209c4b35b650910a38b45289
tm:aaf8c18bdca440488b107a2676ec33ef,exp:727c13d92af445569ffa41240aa5f87c,642.5,647.5,mr:3cbe77ad209c4b35b650910a38b45289
tm:cef9c158a7f94ae582447652f9fc8fa5,exp:727c13d92af445569ffa41240aa5f87c,680.0,685.0,mr:3cbe77ad209c4b35b650910a38b45289
tm:11e3a675fee746bca83482727d19859f,exp:727c13d92af445569ffa41240aa5f87c,553.0,558.0,mr:c31ac3a6967a491e858c525f80d89cde
tm:24080e21fdbd43678ea7d91e0c5ec6ff,exp:727c13d92af445569ffa41240aa5f87c,522.0,527.0,mr:c31ac3a6967a491e858c525f80d89cde
tm:0c8a99fe252d4e99b03a6efd15ccaa57,exp:727c13d92af445569ffa41240aa5f87c,548.0,553.0,mr:c31ac3a6967a491e858c525f80d89cde
tm:0170699ec2d44494b402b0aec1c68dbc,exp:727c13d92af445569ffa41240aa5f87c,587.0,592.0,mr:c31ac3a6967a491e858c525f80d89cde
tm:5a038c3b68fe4303a7d77444c7e20d0d,exp:727c13d92af445569ffa41240aa5f87c,626.0,631.0,mr:c31ac3a6967a491e858c525f80d89cde
tf:bd8d87e0d2e7405096d16988b00c47b2,exp:727c13d92af445569ffa41240aa5f87c,685.0,687.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:c378f32f0d874f0aaba52d0815d31ec6,exp:727c13d92af445569ffa41240aa5f87c,687.0,697.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:3e9891b05d774276980e1376a23b03c4,exp:727c13d92af445569ffa41240aa5f87c,697.5,701.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:ce8202fc92574729bd17b24d823e551e,exp:727c13d92af445569ffa41240aa5f87c,701.5,704.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:97c3d31ad4894b40a3c77cf8b60a3e1f,exp:727c13d92af445569ffa41240aa5f87c,704.5,713.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:848df1bf9d814ad6a74b0e35a238c77b,exp:727c13d92af445569ffa41240aa5f87c,713.5,718.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:41e442c7603d4c39980e121aa89dfa0e,exp:727c13d92af445569ffa41240aa5f87c,718.0,721.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:6b196217031a4e81ac50b00120b56b36,exp:727c13d92af445569ffa41240aa5f87c,721.0,725.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:8aae4c8a81e140c7a2e880b63a384182,exp:727c13d92af445569ffa41240aa5f87c,558.0,562.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:a643207ee23c4076985bf2059081cfc5,exp:727c13d92af445569ffa41240aa5f87c,562.5,571.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:afe9028176d8447d94d952b93a2fd0ea,exp:727c13d92af445569ffa41240aa5f87c,725.5,732.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:90f16ec3a4814a66b125d56335c2b9fb,exp:727c13d92af445569ffa41240aa5f87c,571.5,579.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:b2644a6038b54aca87265748d63ed46f,exp:727c13d92af445569ffa41240aa5f87c,579.0,589.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:7a717639202e4422aaddb8bb5bca2033,exp:727c13d92af445569ffa41240aa5f87c,589.5,598.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:2fa2ee4cc8194d6d8e7c2614a76eeaf8,exp:727c13d92af445569ffa41240aa5f87c,598.5,612.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:78c55174b6c7433e98f8c511d9bf98fc,exp:727c13d92af445569ffa41240aa5f87c,631.0,634.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:146f7d16bc1f4fb281ca9b488079bd27,exp:727c13d92af445569ffa41240aa5f87c,732.5,734.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:4be40112f0204a9b86ca9421815e1c75,exp:727c13d92af445569ffa41240aa5f87c,634.0,635.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:165fcd2d71c349758af2435848d67ee5,exp:727c13d92af445569ffa41240aa5f87c,635.0,642.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:418e3ec52aee45f791dd80e42a63f080,exp:727c13d92af445569ffa41240aa5f87c,739.5,748.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:0b612c864d0943949ff051c6497c6ce3,exp:727c13d92af445569ffa41240aa5f87c,748.5,755.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:c65527fe82124dd08afedc3eef80fe2d,exp:727c13d92af445569ffa41240aa5f87c,755.5,758.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:67ab985d1d024a73a582d521a954b815,exp:727c13d92af445569ffa41240aa5f87c,758.5,767.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:bbc59b95338e43e790251544f03c1a42,exp:727c13d92af445569ffa41240aa5f87c,647.0,652.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:a40197cbd3a741f4a14fbe124df708b2,exp:727c13d92af445569ffa41240aa5f87c,652.0,659.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:4a2074088fc6430d9474e803e563974a,exp:727c13d92af445569ffa41240aa5f87c,659.0,665.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:9bd73b8c6049478081ad819300187f87,exp:727c13d92af445569ffa41240aa5f87c,665.0,667.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:0caa9901369e4afa9cbc558b0cc9e1b5,exp:727c13d92af445569ffa41240aa5f87c,636.0,643.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:1007e00dcb72414b9d9fd7a2f3143492,exp:727c13d92af445569ffa41240aa5f87c,767.5,772.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:93fcd51f0a1e459bb60694142fd7dab6,exp:727c13d92af445569ffa41240aa5f87c,772.5,775.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:69ac581f127f4a07a27591ebe9dd0e35,exp:727c13d92af445569ffa41240aa5f87c,667.0,674.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:d97b8a6c51b847f5baa72af3a2678b30,exp:727c13d92af445569ffa41240aa5f87c,775.5,781.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:f64d7e113da1415dad920ee0f781f8d5,exp:727c13d92af445569ffa41240aa5f87c,781.5,795.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:2006d74e76b048b4a912066dbb88c939,exp:727c13d92af445569ffa41240aa5f87c,674.0,678.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:4372c59eed2d4934a7e3a87e6fb8520f,exp:727c13d92af445569ffa41240aa5f87c,678.0,682.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:9bd996bc77fc4993b352c910f79b3ee2,exp:727c13d92af445569ffa41240aa5f87c,800.0,804.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:ae769f06098a48a0988b2896515b5fe7,exp:727c13d92af445569ffa41240aa5f87c,804.0,811.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:4555bd2b84a94d139247644d7caa346b,exp:727c13d92af445569ffa41240aa5f87c,652.0,665.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:e6721963ba764977bad7d0b4d51d16c0,exp:727c13d92af445569ffa41240aa5f87c,682.0,687.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:7ccd6671f0ba4b05b4f194334d56a3a8,exp:727c13d92af445569ffa41240aa5f87c,811.5,814.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:0c1b6512730a4bb4a310c20072e4e553,exp:727c13d92af445569ffa41240aa5f87c,692.0,695.0,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:36ad8c28cc0948f2a058a92ed5877c5d,exp:727c13d92af445569ffa41240aa5f87c,814.5,823.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:e6a4bba9b0be4b84977a41b8c42ac7d3,exp:727c13d92af445569ffa41240aa5f87c,823.5,830.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:63e9cce925b04df685fcaaf43e34d8a2,exp:727c13d92af445569ffa41240aa5f87c,830.5,838.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:ca02a5ebf40149ad83cc7c07a16c7cab,exp:727c13d92af445569ffa41240aa5f87c,838.5,841.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:04191d7fe54f446a855d7f73e470175b,exp:727c13d92af445569ffa41240aa5f87c,841.5,845.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:58cccc4def0c4e9daa30f3a9545f0df6,exp:727c13d92af445569ffa41240aa5f87c,845.5,850.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:d0ebe40133c446c4bc29cfbd68d096db,exp:727c13d92af445569ffa41240aa5f87c,850.5,859.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:92b4b395d5264c84b20facda6b6c782e,exp:727c13d92af445569ffa41240aa5f87c,859.5,865.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:116dd0be1cd64083b7772aa61d5f82fe,exp:727c13d92af445569ffa41240aa5f87c,865.5,870.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:96de0bd1ffe6473db6a5288c1f599068,exp:727c13d92af445569ffa41240aa5f87c,870.5,871.5,ma:8fb0aa48979149ccaa27c32f54a499be
tm:e08a5c4f36364040947792c15a3d7887,exp:727c13d92af445569ffa41240aa5f87c,734.5,739.5,mr:3cbe77ad209c4b35b650910a38b45289
tm:5a492ae98e124d078c422a0ae0117b43,exp:727c13d92af445569ffa41240aa5f87c,795.0,800.0,mr:3cbe77ad209c4b35b650910a38b45289
tm:3c051eb518984a6cb024dff6f92dea23,exp:727c13d92af445569ffa41240aa5f87c,823.5,828.5,mr:3cbe77ad209c4b35b650910a38b45289
tm:61668c155e264036b9a25064aebdf8e1,exp:727c13d92af445569ffa41240aa5f87c,631.0,636.0,mr:c31ac3a6967a491e858c525f80d89cde
tm:f708da2113434157acecda079c9be7ee,exp:727c13d92af445569ffa41240aa5f87c,647.0,652.0,mr:c31ac3a6967a491e858c525f80d89cde
tm:df751723900f4d4a96b283d697d9d25a,exp:727c13d92af445569ffa41240aa5f87c,642.0,647.0,mr:c31ac3a6967a491e858c525f80d89cde
tm:1a1ea108de0149fd878bc964a5c08d68,exp:727c13d92af445569ffa41240aa5f87c,687.0,692.0,mr:c31ac3a6967a491e858c525f80d89cde
tf:a5e2a033f9de41179901a874eaad6f06,exp:727c13d92af445569ffa41240aa5f87c,697.5,706.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:569447ade050431f8017c5d6a0ed8082,exp:727c13d92af445569ffa41240aa5f87c,871.5,880.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:f8092f6b9bd64639be513713af0b644b,exp:727c13d92af445569ffa41240aa5f87c,880.5,891.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:8ab7dd90937641849cd592948565413f,exp:727c13d92af445569ffa41240aa5f87c,732.5,746.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:65de295a65154f57867ab031c05735e8,exp:727c13d92af445569ffa41240aa5f87c,859.5,860.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:be1e9b76a6b84678be71653b05684542,exp:727c13d92af445569ffa41240aa5f87c,746.0,758.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:4840e500e41b44e6888f8e7241e887ff,exp:727c13d92af445569ffa41240aa5f87c,758.0,767.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:e2b52f855ed8412eabaa6f178c0eaea9,exp:727c13d92af445569ffa41240aa5f87c,767.0,780.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:17a02443d50f4539934c601d8f519e99,exp:727c13d92af445569ffa41240aa5f87c,780.5,786.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:b2b0d535fdee4104b42cc18f24c34313,exp:727c13d92af445569ffa41240aa5f87c,786.5,792.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:6225440170774ecf8e0e690b9095707f,exp:727c13d92af445569ffa41240aa5f87c,891.0,895.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:0a4295d812034f7699d6c5df437c89d1,exp:727c13d92af445569ffa41240aa5f87c,895.5,897.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:b84afe354ae5496bb190895feaad2194,exp:727c13d92af445569ffa41240aa5f87c,897.5,899.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:dc5e4e2bea2c46c7ab2809354e8bb8ce,exp:727c13d92af445569ffa41240aa5f87c,899.5,910.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:c58d8a61472841e1b1434ebf48fdb08b,exp:727c13d92af445569ffa41240aa5f87c,795.0,804.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:f6936d2da3474aab85eee914df0d7ffc,exp:727c13d92af445569ffa41240aa5f87c,804.0,810.0,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:993841687a2540c6b3875be2802d1558,exp:727c13d92af445569ffa41240aa5f87c,910.0,918.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:6aa8d0a2766e4c0e960dba356dcd2966,exp:727c13d92af445569ffa41240aa5f87c,918.0,927.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:70e5af486f54412793ed25c9f5a860c0,exp:727c13d92af445569ffa41240aa5f87c,811.5,823.5,ma:b61bdbce3b5e4028aa7f0e2bdae79522
tf:8c39941d9f1b4b11a358bf8a6d508561,exp:727c13d92af445569ffa41240aa5f87c,927.0,931.0,ma:8fb0aa48979149ccaa27c32f54a499be
tf:56f2f2229d044ab3a90c31e25ff0fde5,exp:727c13d92af445569ffa41240aa5f87c,931.0,932.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:12f24f2402544eb89b70a33c3a2d4ab9,exp:727c13d92af445569ffa41240aa5f87c,932.5,934.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:1435670e18b74f4a97401272a59d10c4,exp:727c13d92af445569ffa41240aa5f87c,934.5,942.5,ma:8fb0aa48979149ccaa27c32f54a499be
tm:a6b40f0a231f4291ae1169d599530824,exp:727c13d92af445569ffa41240aa5f87c,823.5,828.5,mr:c31ac3a6967a491e858c525f80d89cde
tf:865254edcbf04426bbe02688707a17ed,exp:727c13d92af445569ffa41240aa5f87c,942.5,949.5,ma:2d06e2ff58e048f28d8f77034ea3d83d
tf:c8eb26f1de57424786eb47957baa0255,exp:727c13d92af445569ffa41240aa5f87c,949.5,957.5,ma:8fb0aa48979149ccaa27c32f54a499be
tf:990ecbe13d3b4e97b041a1d41fad34ad,exp:d52d50e8ae714499a95573f157bde564,128.0,137.0,ma:a9e04afc5c5641c1b99c3d5df53cd42d
tf:bd14eca317224542a56bf18472a671ea,exp:d52d50e8ae714499a95573f157bde564,137.0,145.0,ma:d92c3cb97f434cafb74a33f2abe01268
tf:16903f55b4894cc898537ee295b19a41,exp:d52d50e8ae714499a95573f157bde564,145.0,146.0,ma:d92c3cb97f434cafb74a33f2abe01268
tf:bdab6b74c91042d4ab9c2061c1898401,exp:d52d50e8ae714499a95573f157bde564,146.0,155.0,ma:a9e04afc5c5641c1b99c3d5df53cd42d
tf:2bec5ae5a3ce40a6bf73c8927c18b9f0,exp:d52d50e8ae714499a95573f157bde564,358.0,365.0,ma:d92c3cb97f434cafb74a33f2abe01268
tf:fdc6f804eb54445d8c2f3b852e5deefc,exp:d52d50e8ae714499a95573f157bde564,365.0,367.0,ma:d92c3cb97f434cafb74a33f2abe01268
tf:58ff370b71ba4deaa8fe7a5284b294eb,exp:d52d50e8ae714499a95573f157bde564,367.0,372.0,ma:d92c3cb97f434cafb74a33f2abe01268
tf:4cd7800ccc93451897a0c87bccf7c766,exp:d52d50e8ae714499a95573f157bde564,372.0,376.0,ma:d92c3cb97f434cafb74a33f2abe01268
