uid,model_name,problem_id
exp:4e891abb2c704729a6699aebb1991fb8,RCEMP-DIAL-m-FIFO,pb:3c992d942fdc4f6189d88165160c4135
exp:4f0ba459863843f2af82017c7bd3c8bb,RCEMP-DIAL-m-FIFO,pb:55eb7f4480d34647954bd645d97d435f
exp:4fe9f585b1884bf59a41787dbfff3636,RCEMP-DIAL,pb:f7aa15115b9b4007abe4c3b45a72448b
exp:5141cd5acdc2459f896e81bf5bdbc078,RCEMP-DIAL-m-RANDOM,pb:ff37c0935c9b4d88bf5c694798f88c10
exp:5395e93e3d9a45988bec397850ea1fda,RCEMP-DIAL-p-FIFO,pb:966fc42fd9e447bfbab86ce00e970231
exp:539fa779a10a4b4c99be659e8c4690ab,RCEMP-DIAL-p-EDD,pb:684dd49d6599496cb1a05404591d39a8
exp:540c5bd026e04d6e8fd25fa65b58cf92,RCEMP-DIAL-m-RANDOM,pb:66ff5ef020244d49af5633eac27a2a30
exp:54cc32ade7434c4895580c933fac005f,RCEMP-DIAL-m-EDD,pb:cfdf1b9393974ca7b3f6714f7b8cf63e
exp:562a619eac864722bb23bf8ddc46f327,RCEMP-DIAL-p-RANDOM,pb:cc3a7b009e7b47c0bd967927c64e6ada
exp:586142a81d0c47c38d96e2bc3711871e,RCEMP-DIAL-p-RANDOM,pb:da37eb012b3140c083bd918381113605
exp:596ca1f654b848718bb3c601683d88c3,RCEMP-DIAL-m-RANDOM,pb:55eb7f4480d34647954bd645d97d435f
exp:5aefd62dee9f42819bec2f332b193684,RCEMP-DIAL-p-EDD,pb:da37eb012b3140c083bd918381113605
exp:5b4f9b9493704b3d8d45593bcad4162f,RCEMP-DIAL-m-FIFO,pb:a4187d88b5584897973ddce26e7e3766
exp:5df165ca6e75438aa36e4091d26fc79f,RCEMP-DIAL-p-FIFO,pb:13155c73489c46ebaaaf9c0f3643cc30
exp:63c0f2ae9b5d4d2d910b7946bb8514e4,RCEMP-DIAL-m-FIFO,pb:0711a60a24004315a5e003f06b18e68e
exp:6434b080f83846128746fe392646c5bc,RCEMP-DIAL-m-FIFO,pb:66ff5ef020244d49af5633eac27a2a30
exp:6709bcb973f94f4e99d8734b90d680e0,RCEMP-DIAL,pb:f952c81980c647e58e37f63ddf7a41e1
exp:6a6fe4fe36404888be2a08583315c4f5,RCEMP-DIAL-p-EDD,pb:3738bdf49c1d4c52b691f4c9b2bb2b5e
exp:6caece3f083e42669dac4c834b1f5217,RCEMP-DIAL-p-FIFO,pb:73a0360c570f4ad3aa93a00b5746860f
exp:6f598628a522469ebce38f929eba871b,RCEMP-DIAL-p-EDD,pb:77ec910870974d7caa52ea2fdbd7f191
exp:72b7cb83ef264e128f8bba452e83f243,RCEMP-DIAL-m-RANDOM,pb:f952c81980c647e58e37f63ddf7a41e1
exp:73269f11a35b4bfa984d909869ebf3a5,RCEMP-DIAL,pb:b589dead27ba4cfa9420a2f10c4689b0
exp:73c7b9173e9848a3b4c8153625864f8e,RCEMP-DIAL-p-RANDOM,pb:3c992d942fdc4f6189d88165160c4135
exp:75603f6c8dbe4651b37293bde9b68984,RCEMP-DIAL,pb:84fba4f67b6940bd88de9b6764d56203
exp:75a4af6b6ccd4c60851437080520fdd2,RCEMP-DIAL-p-EDD,pb:66ff5ef020244d49af5633eac27a2a30
exp:765b2315962144c689041366df10f6c7,RCEMP-DIAL-m-EDD,pb:73a0360c570f4ad3aa93a00b5746860f
exp:765fb33d8a6b4b73a7aac8d9f8ec6486,RCEMP-DIAL,pb:a4187d88b5584897973ddce26e7e3766
exp:76a68eefc1c14c268218090cfec2bf30,RCEMP-DIAL-p-RANDOM,pb:f952c81980c647e58e37f63ddf7a41e1
exp:76a938d1ea814447aca023d7727559f8,RCEMP-DIAL-p-FIFO,pb:84fba4f67b6940bd88de9b6764d56203
exp:799e23e2181b4b748a5bfe276e2722bf,RCEMP-DIAL-p-EDD,pb:f7aa15115b9b4007abe4c3b45a72448b
exp:7ce0c171d22a44bdb8ea5e051eb98fe8,RCEMP-DIAL-p-RANDOM,pb:4a5aa4745604496e8af08e66cd4cbdec
exp:7db46c1361994ebfa3150b2f278a895b,RCEMP-DIAL-p-FIFO,pb:3738bdf49c1d4c52b691f4c9b2bb2b5e
exp:7dd75868e15b4dfa9a924fdf712bc118,RCEMP-DIAL-p-RANDOM,pb:f12ec1beb8f644809ada679a121d8659
exp:83bb5c30e3ac42e4845f37cd2a477dbc,RCEMP-DIAL-p-EDD,pb:84fba4f67b6940bd88de9b6764d56203
exp:85013c8e24134e89a2867c2ff0506488,RCEMP-DIAL,pb:75a644b8ed8c4ff4bda8b13350b8f545
exp:8580bb854139436588c9bc2272d61aa5,RCEMP-DIAL,pb:cfdf1b9393974ca7b3f6714f7b8cf63e
exp:8686d5281ac54116bbadcb58531c3e6b,RCEMP-DIAL-p-FIFO,pb:cfdf1b9393974ca7b3f6714f7b8cf63e
exp:8755517e1570447d98d68dd23c7dbf4a,RCEMP-DIAL,pb:da37eb012b3140c083bd918381113605
exp:87c918511cf34fa083adbb0c57c210fe,RCEMP-DIAL-m-RANDOM,pb:f7aa15115b9b4007abe4c3b45a72448b
exp:8870ed958ae94f3f8615c4aee035843f,RCEMP-DIAL-p-EDD,pb:55eb7f4480d34647954bd645d97d435f
exp:89f5768e96a145c0948f5ff3e688d44f,RCEMP-DIAL-p-RANDOM,pb:086ee52fe5fb47a78fc687f1f3beb27f
exp:8a78462a40a2486794c2ad46ee0e666f,RCEMP-DIAL-p-RANDOM,pb:66ff5ef020244d49af5633eac27a2a30
exp:8ea3c3d6d50d44f880202bca87239bf0,RCEMP-DIAL-m-RANDOM,pb:84fba4f67b6940bd88de9b6764d56203
exp:91302e2452d24fd78ab4e7cec99a4304,RCEMP-DIAL-m-FIFO,pb:3738bdf49c1d4c52b691f4c9b2bb2b5e
exp:921a23e8e4fc46379313446204babd7d,RCEMP-DIAL-p-FIFO,pb:f12ec1beb8f644809ada679a121d8659
exp:92fb8f85d95c43b79793c5e03a609945,RCEMP-DIAL-m-RANDOM,pb:3738bdf49c1d4c52b691f4c9b2bb2b5e
exp:938e852a328043908f883cd722176adf,RCEMP-DIAL-m-RANDOM,pb:966fc42fd9e447bfbab86ce00e970231
exp:93a7b0d149674a59944f135f01504658,RCEMP-DIAL,pb:c76e01b20c1043748bc423a1743c236b
exp:949bebd38bb04cff929e1cade4b59d0f,RCEMP-DIAL-m-EDD,pb:0711a60a24004315a5e003f06b18e68e
exp:9512a59a23ef45148edc0d65472e0ac2,RCEMP-DIAL-p-FIFO,pb:77ec910870974d7caa52ea2fdbd7f191
exp:971a0649082048bcbb38ff5f5703ca6b,RCEMP-DIAL-m-EDD,pb:086ee52fe5fb47a78fc687f1f3beb27f
exp:9796ef566ea54af1a36cf5822f863a71,RCEMP-DIAL-m-EDD,pb:eeae4ff3cf9441b7a74ee59b4bf368fa
exp:992b64c7e0ca4bfeb8223d86ad31beaa,RCEMP-DIAL-m-FIFO,pb:ff37c0935c9b4d88bf5c694798f88c10
exp:99c169a1d1aa42bbb6364af469f9b097,RCEMP-DIAL-m-EDD,pb:32db109d3b534e69a8d99a286c82f237
exp:9a7f340195404911850a74300ec7f143,RCEMP-DIAL,pb:20e65eaa7e3442a9b004262f5fccc80b
exp:9b36026b14644d87815bdfb35c192941,RCEMP-DIAL-m-FIFO,pb:73a0360c570f4ad3aa93a00b5746860f
exp:9c44b82e96a84fdd88248879a4c0fd80,RCEMP-DIAL-m-EDD,pb:966fc42fd9e447bfbab86ce00e970231
exp:9e11932e68c44a82b74d620107a71350,RCEMP-DIAL,pb:11a117d6ad7d46eaa8c0baca175c90ac
exp:9f8effd20fbd46ca8788571b26e2aecd,RCEMP-DIAL-p-RANDOM,pb:0711a60a24004315a5e003f06b18e68e
exp:a1a19dc56442443498621d8b623ac8b4,RCEMP-DIAL-p-EDD,pb:eeae4ff3cf9441b7a74ee59b4bf368fa
exp:a24c7ee447b6438f90276b31268a82da,RCEMP-DIAL-m-EDD,pb:a4187d88b5584897973ddce26e7e3766
exp:a3bc60655f0b46bdb8049f1ed404e92c,RCEMP-DIAL-m-FIFO,pb:f7aa15115b9b4007abe4c3b45a72448b
exp:a532d3d09701418389bd532709300f3a,RCEMP-DIAL-p-FIFO,pb:ff37c0935c9b4d88bf5c694798f88c10
exp:a5bc888f21bb4966924f0254a42055c0,RCEMP-DIAL-m-FIFO,pb:13155c73489c46ebaaaf9c0f3643cc30
exp:a67ca6726a024bb7b4aec02c192c8108,RCEMP-DIAL-m-FIFO,pb:086ee52fe5fb47a78fc687f1f3beb27f
exp:a7a3c713cf494c05b2f35f09b8cb5c5c,RCEMP-DIAL,pb:c979b34139bb4d45b9a2ba8f8961dfe0
exp:a7c70723e6fe4f54896f881c14377b5a,RCEMP-DIAL-p-FIFO,pb:ea1c07c5c2784fb485becb572e27ed45
exp:a7ef52dcc56243d391a595b126a38547,RCEMP-DIAL-p-RANDOM,pb:eeae4ff3cf9441b7a74ee59b4bf368fa
exp:a931d2fa1bfd44de9c00f739e6a03437,RCEMP-DIAL-m-EDD,pb:84fba4f67b6940bd88de9b6764d56203
exp:ab2a2956c0af4e7bb4e86d3e4b00de77,RCEMP-DIAL-m-FIFO,pb:f952c81980c647e58e37f63ddf7a41e1
exp:acee96f178a9408ea4febc3b4c1d7f6b,RCEMP-DIAL,pb:6b24bf8425a8417ebcd7fc5502f5bc7e
exp:ae8e77772452405f80fe0787757e0ddf,RCEMP-DIAL-p-RANDOM,pb:3738bdf49c1d4c52b691f4c9b2bb2b5e
exp:aea8f098b1ac43a2b18a347e282b54f0,RCEMP-DIAL-p-EDD,pb:f952c81980c647e58e37f63ddf7a41e1
exp:af742c55ef174c239f4645b851aa3af5,RCEMP-DIAL-m-RANDOM,pb:cfdf1b9393974ca7b3f6714f7b8cf63e
exp:afeaa20208b44739a541477a4f4d8fe6,RCEMP-DIAL-p-FIFO,pb:66ff5ef020244d49af5633eac27a2a30
exp:b05c145a28c240aa88cf7f8e8e75eeb6,RCEMP-DIAL-m-RANDOM,pb:eeae4ff3cf9441b7a74ee59b4bf368fa
exp:b1811e3c773a42f9b07f680255ba4ab8,RCEMP-DIAL,pb:a98dc31661e84c65812f2b02d99b2b70
exp:b2f1548424ea4bd08d39bae2570dbd86,RCEMP-DIAL,pb:684dd49d6599496cb1a05404591d39a8
exp:b44d6c739236405bafbb5a84a6cfbd8c,RCEMP-DIAL-m-FIFO,pb:684dd49d6599496cb1a05404591d39a8
exp:b5b5099b569a41578e2941a345b88612,RCEMP-DIAL-p-EDD,pb:73a0360c570f4ad3aa93a00b5746860f
exp:b5c431fb8ccf4034a330e5b2810b4094,RCEMP-DIAL-m-RANDOM,pb:f12ec1beb8f644809ada679a121d8659
exp:b6ebadf3d6664ddb873153d686c89138,RCEMP-DIAL,pb:f12ec1beb8f644809ada679a121d8659
exp:b8c39a8137ae43a0913fd8c90afd63ba,RCEMP-DIAL-m-RANDOM,pb:13155c73489c46ebaaaf9c0f3643cc30
exp:bb902fd4b5314ae5945269db649feef9,RCEMP-DIAL-p-FIFO,pb:cc3a7b009e7b47c0bd967927c64e6ada
exp:bc5fe93a13ff45a3a29dbe0ee8a596f2,RCEMP-DIAL-m-EDD,pb:f952c81980c647e58e37f63ddf7a41e1
exp:bfe7d7909f124ac8a2273e2bcb6b30ce,RCEMP-DIAL-p-RANDOM,pb:966fc42fd9e447bfbab86ce00e970231
exp:c081f053ae994e25a129b96760e7acbb,RCEMP-DIAL,pb:ff37c0935c9b4d88bf5c694798f88c10
exp:c2570f8058df47bc8b4a2729541946fe,RCEMP-DIAL-p-EDD,pb:a4187d88b5584897973ddce26e7e3766
exp:c2570fb7e1fe48e594efbd1f85547e18,RCEMP-DIAL-p-EDD,pb:32db109d3b534e69a8d99a286c82f237
exp:c56bdccacae44a33a9e0ce7fc9b308cf,RCEMP-DIAL-m-FIFO,pb:966fc42fd9e447bfbab86ce00e970231
exp:c6864f29ec1f49ef953de028a917d3e1,RCEMP-DIAL-m-FIFO,pb:ea1c07c5c2784fb485becb572e27ed45
exp:c8284427bc994bfe909ad152d28aaceb,RCEMP-DIAL-m-EDD,pb:684dd49d6599496cb1a05404591d39a8
exp:c84ef3d683f1480d813c8375ad5b846c,RCEMP-DIAL,pb:1c92f4f9e4aa431a9fe2371bc8a6416b
exp:c8d8d07fd25946b0afafde49a95696c5,RCEMP-DIAL-p-EDD,pb:4a5aa4745604496e8af08e66cd4cbdec
exp:ca2a09b4bf6942fab01bade704b2325f,RCEMP-DIAL,pb:086ee52fe5fb47a78fc687f1f3beb27f
exp:cb450da5b2314939af3bff238bad5080,RCEMP-DIAL-p-EDD,pb:cc3a7b009e7b47c0bd967927c64e6ada
exp:cbaa8223047f463abc1c0135ac9135d1,RCEMP-DIAL-p-RANDOM,pb:73a0360c570f4ad3aa93a00b5746860f
exp:cc38de5907ba4030acc37accc2ca95e6,RCEMP-DIAL-p-RANDOM,pb:77ec910870974d7caa52ea2fdbd7f191
exp:d3236665cc6a44c28644513b173352cd,RCEMP-DIAL-m-RANDOM,pb:086ee52fe5fb47a78fc687f1f3beb27f
exp:d4e2bae037c9494d9371908bb6e2325b,RCEMP-DIAL,pb:ea1c07c5c2784fb485becb572e27ed45
exp:d5a03eb9c1c443148087f47c597cd74f,RCEMP-DIAL-p-RANDOM,pb:ea1c07c5c2784fb485becb572e27ed45
exp:d6d8377711cd44229f6cad6f98f11631,RCEMP-DIAL,pb:7b602c63b1b84fddbd715a449cc5ed30
exp:d705590ddc4f459b86c63dc5879aa0c5,RCEMP-DIAL-m-EDD,pb:ff37c0935c9b4d88bf5c694798f88c10
exp:db73261fa1e94b0bbe91c03f67ce129e,RCEMP-DIAL-m-EDD,pb:55eb7f4480d34647954bd645d97d435f
exp:dca40e452bfb45838f8e765e34bdda4e,RCEMP-DIAL-p-RANDOM,pb:f7aa15115b9b4007abe4c3b45a72448b
exp:df19b81dea7f4647843415354aa4f7c1,RCEMP-DIAL,pb:f0bc65eb9ed340649c272ff6986b189a
exp:e0dbb222448d40e5b90d7a6b1493af12,RCEMP-DIAL,pb:ae65cbfcf390487e83830da4cfe038e9
exp:e2e0e9dd36174f65b49a27c90c067e49,RCEMP-DIAL-m-EDD,pb:da37eb012b3140c083bd918381113605
exp:e326d2f4b28148cd80c30a6eec874267,RCEMP-DIAL,pb:73a0360c570f4ad3aa93a00b5746860f
exp:e4004fa1f6e84d95ada7377ac34ca525,RCEMP-DIAL-p-RANDOM,pb:13155c73489c46ebaaaf9c0f3643cc30
exp:e4748efe9d5944daac573771fcc144c9,RCEMP-DIAL-m-EDD,pb:f12ec1beb8f644809ada679a121d8659
exp:e49931ddbb0a47d19f5d5b2cb2a7810d,RCEMP-DIAL-p-FIFO,pb:4a5aa4745604496e8af08e66cd4cbdec
exp:e5af4106e1d847f08a79f00c64183e86,RCEMP-DIAL,pb:c7f149c03e544bba81c804ab54f90c0a
exp:e5c4d308c792434e9d121d3c191fa5b8,RCEMP-DIAL,pb:32db109d3b534e69a8d99a286c82f237
exp:e7aa03cf7c774acf9a596cbd9ebf31d1,RCEMP-DIAL-m-EDD,pb:3c992d942fdc4f6189d88165160c4135
exp:ea605c53e6e7456392de9604d640e0f9,RCEMP-DIAL,pb:3c992d942fdc4f6189d88165160c4135
exp:ebd7ea871ad64cacbd2690278b5557f2,RCEMP-DIAL-p-EDD,pb:13155c73489c46ebaaaf9c0f3643cc30
exp:ecf243cd58c345d988c9ec5183f6aef7,RCEMP-DIAL-p-EDD,pb:0711a60a24004315a5e003f06b18e68e
exp:f57957a7f4504175bed8bcbba39e627a,RCEMP-DIAL,pb:23356c9714e640d6b56306cd9ed58d46
exp:f79a63bdeefe458694555180417f2898,RCEMP-DIAL-m-RANDOM,pb:684dd49d6599496cb1a05404591d39a8
exp:fae77bcd4fc044aeb1d0a381a7938cd7,RCEMP-DIAL,pb:eeae4ff3cf9441b7a74ee59b4bf368fa
exp:faef7f35b366462c973c81cc69ed6e87,RCEMP-DIAL,pb:13155c73489c46ebaaaf9c0f3643cc30
exp:fb6c15f0bbc14a628b656d261f27c0ec,RCEMP-DIAL-p-RANDOM,pb:ff37c0935c9b4d88bf5c694798f88c10
exp:fe19070092274979a6b469315a46e529,RCEMP-DIAL-m-FIFO,pb:84fba4f67b6940bd88de9b6764d56203
